#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	42.06	0.501	39.67
0.752	41.94	1.002	39.67
1.253	41.94	1.503	39.67
1.754	41.94	2.003	39.67
2.254	42.06	2.504	39.67
2.755	42.06	3.005	39.67
3.256	41.81	3.506	39.80
3.755	41.94	4.006	39.55
4.256	41.94	4.507	39.67
4.757	41.81	5.008	39.80
5.258	41.94	5.509	39.67
5.758	41.94	6.009	39.67
6.259	42.06	6.510	39.80
6.760	41.94	7.011	39.67
7.261	42.06	7.512	39.55
7.761	42.06	8.012	39.67
8.262	41.81	8.513	39.80
8.763	42.06	9.014	39.67
9.264	41.94	9.513	39.55
9.764	41.81	10.014	39.80
10.265	41.81	10.515	39.55
10.766	41.94	11.016	39.67
11.267	41.81	11.516	39.67
11.767	41.94	12.017	39.67
12.268	41.94	12.518	39.55
12.769	41.94	13.019	39.55
13.269	41.81	13.519	39.55
13.770	41.94	14.020	39.43
14.271	41.94	14.521	39.55
14.772	41.94	15.022	39.67
15.272	41.81	15.522	39.55
15.772	41.81	16.023	39.55
16.273	41.81	16.524	39.67
16.774	41.81	17.024	39.67
17.274	41.94	17.525	39.43
17.775	41.94	18.026	39.55
18.276	41.94	18.527	39.55
18.777	41.81	19.027	39.43
19.277	41.94	19.528	39.43
19.778	41.94	20.029	39.55
20.279	41.69	20.530	39.43
