#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	42.18	0.501	28.29
0.751	42.06	1.001	28.18
1.251	42.06	1.502	28.29
1.752	42.18	2.003	28.29
2.253	42.06	2.504	28.39
2.754	42.18	3.004	28.39
3.254	42.18	3.505	28.18
3.755	42.18	4.006	28.29
4.256	42.18	4.506	28.18
4.756	42.18	5.006	28.29
5.257	42.31	5.507	28.29
5.758	42.18	6.008	28.29
6.259	42.06	6.509	28.39
6.759	42.18	7.009	28.29
7.260	42.18	7.510	28.39
7.761	42.31	8.011	28.39
8.262	42.18	8.511	28.29
8.762	42.18	9.012	28.39
9.263	42.18	9.513	28.29
9.764	42.18	10.014	28.39
10.265	42.31	10.514	28.39
10.764	42.18	11.015	28.39
11.265	42.18	11.516	28.39
11.766	42.18	12.017	28.39
12.267	42.06	12.517	28.39
12.767	42.31	13.018	28.39
13.268	42.18	13.519	28.39
13.769	42.06	14.020	28.39
14.269	42.06	14.520	28.29
14.770	42.06	15.021	28.39
15.271	42.18	15.522	28.39
15.772	42.06	16.023	28.39
16.272	42.31	16.523	28.39
16.773	42.06	17.023	28.50
17.274	42.18	17.524	28.50
17.775	42.31	18.024	28.39
18.275	42.18	18.525	28.39
18.776	42.31	19.026	28.50
19.277	42.18	19.527	28.29
19.778	42.31	20.027	28.39
