#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	42.56	0.501	37.88
0.751	42.31	1.002	37.88
1.252	42.43	1.502	37.76
1.752	42.43	2.003	37.88
2.253	42.43	2.504	37.88
2.754	42.56	3.005	37.88
3.255	42.31	3.505	37.88
3.755	42.31	4.006	37.88
4.256	42.56	4.507	37.88
4.757	42.31	5.008	38.00
5.257	42.43	5.507	38.00
5.758	42.56	6.008	38.00
6.259	42.43	6.509	38.00
6.760	42.43	7.010	37.88
7.260	42.56	7.510	37.88
7.761	42.43	8.011	38.00
8.262	42.43	8.512	37.88
8.763	42.43	9.013	38.00
9.263	42.56	9.513	38.00
9.764	42.56	10.014	38.00
10.265	42.43	10.515	38.00
10.766	42.43	11.015	38.00
11.265	42.56	11.516	38.00
11.766	42.43	12.017	37.88
12.267	42.43	12.518	38.12
12.768	42.56	13.018	38.00
13.268	42.56	13.519	38.00
13.769	42.43	14.020	38.00
14.270	42.56	14.521	38.00
14.770	42.56	15.021	38.12
15.271	42.56	15.522	38.12
15.772	42.56	16.023	38.00
16.273	42.56	16.524	38.12
16.773	42.43	17.024	38.00
17.274	42.56	17.524	38.12
17.775	42.31	18.025	38.12
18.276	42.56	18.525	38.00
18.776	42.56	19.026	38.00
19.277	42.43	19.527	38.12
