#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.249	42.69	0.499	28.61
0.750	42.69	1.000	28.50
1.251	42.56	1.501	28.61
1.752	42.69	2.001	28.61
2.252	42.69	2.502	28.50
2.753	42.69	3.003	28.71
3.254	42.69	3.504	28.61
3.755	42.69	4.004	28.61
4.255	42.81	4.505	28.61
4.756	42.69	5.006	28.71
5.257	42.69	5.507	28.61
5.757	42.69	6.007	28.71
6.258	42.69	6.508	28.71
6.758	42.69	7.009	28.71
7.259	42.69	7.510	28.82
7.759	42.69	8.010	28.61
8.260	42.56	8.511	28.71
8.761	42.69	9.012	28.71
9.262	42.56	9.513	28.82
9.762	42.69	10.013	28.71
10.263	42.56	10.514	28.82
10.764	42.69	11.015	28.71
11.265	42.56	11.515	28.82
11.765	42.69	12.016	28.71
12.266	42.56	12.516	28.82
12.767	42.69	13.017	28.82
13.268	42.56	13.517	28.82
13.768	42.56	14.018	28.82
14.269	42.69	14.519	28.71
14.770	42.56	15.020	28.82
15.270	42.56	15.520	28.82
15.771	42.43	16.021	28.93
16.272	42.43	16.522	28.82
16.773	42.43	17.023	28.93
17.273	42.56	17.523	28.93
17.774	42.56	18.024	29.04
18.275	42.56	18.525	28.93
18.775	42.43	19.025	29.04
19.275	42.43	19.526	28.93
19.776	42.43	20.027	28.93
20.277	42.43	20.528	29.04
20.778	42.43	21.028	28.93
21.278	42.43	21.529	29.04
21.779	42.43	22.030	28.93
22.280	42.43	22.531	29.14
22.780	42.56	23.031	28.93
