#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	42.69	0.501	34.53
0.751	42.69	1.002	34.65
1.252	42.81	1.502	34.53
1.752	42.69	2.003	34.65
2.253	42.81	2.504	34.53
2.754	42.81	3.005	34.53
3.254	42.69	3.505	34.65
3.755	42.81	4.006	34.42
4.256	42.69	4.506	34.65
4.757	42.81	5.007	34.53
5.257	42.81	5.507	34.65
5.758	42.69	6.008	34.53
6.259	42.81	6.509	34.53
6.760	42.69	7.009	34.76
7.260	42.94	7.510	34.65
7.761	42.81	8.011	34.65
8.262	42.81	8.512	34.65
8.763	42.69	9.012	34.65
9.263	42.81	9.513	34.76
9.764	42.94	10.014	34.65
10.265	42.69	10.515	34.76
10.764	42.81	11.015	34.53
11.265	42.81	11.516	34.76
11.766	42.81	12.017	34.76
12.267	42.81	12.518	34.76
12.767	42.81	13.018	34.76
13.268	42.69	13.519	34.65
13.769	42.69	14.020	34.76
14.270	42.69	14.521	34.76
14.770	42.81	15.021	34.76
15.271	42.69	15.522	34.76
15.772	42.81	16.023	34.76
16.273	42.69	16.522	34.76
16.773	42.69	17.023	34.76
17.274	42.81	17.524	34.76
17.775	42.69	18.025	34.87
18.276	42.81	18.525	34.87
18.776	42.69	19.026	34.87
19.277	42.81	19.527	34.87
19.778	42.94	20.028	34.76
20.278	42.69	20.528	34.87
