#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	42.94	0.500	36.71
0.750	42.94	1.001	36.71
1.251	43.06	1.501	36.60
1.752	42.94	2.002	36.71
2.252	43.06	2.502	36.60
2.753	42.94	3.003	36.71
3.254	42.94	3.504	36.71
3.755	43.06	4.005	36.60
4.255	42.94	4.505	36.71
4.756	42.94	5.006	36.60
5.257	42.81	5.507	36.83
5.758	42.94	6.008	36.71
6.258	42.94	6.508	36.71
6.759	42.81	7.009	36.83
7.260	42.94	7.510	36.71
7.760	42.94	8.010	36.83
8.260	42.81	8.511	36.71
8.761	42.94	9.012	36.83
9.262	42.81	9.513	36.83
9.763	42.94	10.013	36.71
10.263	42.81	10.514	36.83
10.764	42.94	11.015	36.71
11.265	42.94	11.516	36.71
11.765	42.94	12.016	36.60
12.266	42.94	12.517	36.71
12.767	42.81	13.018	36.71
13.268	42.81	13.518	36.71
13.768	42.81	14.018	36.71
14.269	42.81	14.519	36.60
14.770	42.69	15.020	36.71
15.271	42.81	15.520	36.71
15.771	42.81	16.021	36.83
16.272	42.69	16.522	36.60
16.773	42.81	17.023	36.71
17.274	42.69	17.523	36.71
17.774	42.81	18.024	36.71
18.275	42.81	18.525	36.71
18.776	42.69	19.026	36.71
19.276	42.81	19.526	36.60
19.777	42.69	20.027	36.83
20.277	42.81	20.528	36.71
20.778	42.81	21.029	36.71
