#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:17:09 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	41.56	0.501	25.34
0.750	41.69	1.001	25.34
1.251	41.69	1.501	25.34
1.752	41.56	2.002	25.44
2.253	41.69	2.502	25.44
2.753	41.56	3.003	25.44
3.254	41.69	3.504	25.44
3.755	41.69	4.005	25.44
4.256	41.44	4.505	25.55
4.756	41.69	5.006	25.55
5.257	41.69	5.507	25.44
5.758	41.69	6.008	25.55
6.258	41.69	6.508	25.55
6.759	41.56	7.009	25.65
7.260	41.69	7.510	25.55
7.760	41.69	8.011	25.55
8.260	41.69	8.511	25.55
8.761	41.69	9.012	25.65
9.262	41.69	9.513	25.65
9.763	41.56	10.013	25.65
10.263	41.69	10.514	25.65
10.764	41.56	11.015	25.65
11.265	41.56	11.516	25.65
11.766	41.69	12.016	25.55
12.266	41.56	12.517	25.65
12.767	41.56	13.018	25.75
13.268	41.56	13.519	25.65
13.768	41.69	14.018	25.65
14.269	41.81	14.519	25.65
14.770	41.56	15.020	25.75
15.271	41.69	15.521	25.65
15.771	41.69	16.021	25.55
16.272	41.69	16.522	25.65
16.773	41.69	17.023	25.75
17.274	41.69	17.524	25.75
17.774	41.81	18.024	25.65
