#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	42.69	0.501	36.36
0.751	42.81	1.001	36.25
1.251	42.81	1.501	36.13
1.752	42.69	2.002	36.25
2.253	42.81	2.503	36.13
2.754	42.69	3.003	36.13
3.254	42.69	3.504	36.02
3.755	42.69	4.005	36.25
4.256	42.69	4.506	36.13
4.756	42.69	5.006	36.13
5.257	42.43	5.507	36.02
5.758	42.56	6.008	36.13
6.259	42.56	6.509	36.13
6.759	42.43	7.009	36.13
7.260	42.56	7.510	36.13
7.760	42.43	8.011	36.25
8.261	42.43	8.512	36.02
8.761	42.31	9.012	36.13
9.262	42.43	9.513	36.13
9.763	42.56	10.014	36.02
10.264	42.43	10.514	36.13
10.764	42.43	11.015	36.13
11.265	42.43	11.516	36.13
11.766	42.31	12.017	36.25
12.267	42.43	12.517	36.13
12.767	42.43	13.018	36.25
13.268	42.43	13.519	36.25
13.769	42.43	14.019	36.25
14.269	42.43	14.519	36.36
14.770	42.43	15.020	36.25
15.271	42.56	15.521	36.36
15.772	42.43	16.022	36.25
16.272	42.56	16.522	36.36
16.773	42.43	17.023	36.36
17.274	42.43	17.524	36.36
17.775	42.56	18.024	36.36
18.275	42.43	18.525	36.48
