#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	42.06	0.501	30.55
0.750	42.06	1.001	30.55
1.251	42.18	1.502	30.55
1.752	42.06	2.003	30.44
2.253	42.18	2.504	30.44
2.753	42.06	3.004	30.55
3.254	42.18	3.505	30.55
3.755	42.06	4.006	30.55
4.256	42.06	4.506	30.44
4.756	41.94	5.007	30.55
5.257	41.94	5.508	30.55
5.758	41.94	6.009	30.44
6.259	42.06	6.508	30.44
6.759	42.06	7.009	30.55
7.260	42.06	7.510	30.33
7.761	41.94	8.011	30.44
8.261	41.94	8.511	30.55
8.762	42.06	9.012	30.44
9.263	41.94	9.513	30.55
9.764	41.94	10.014	30.44
10.264	41.94	10.514	30.55
10.765	41.94	11.015	30.44
11.266	42.06	11.516	30.44
11.767	41.94	12.016	30.55
12.266	42.06	12.517	30.55
12.767	41.81	13.018	30.44
13.268	41.94	13.519	30.44
13.769	41.94	14.019	30.65
14.269	42.06	14.520	30.55
14.770	41.94	15.021	30.65
15.271	42.06	15.522	30.55
15.772	42.06	16.022	30.65
16.272	42.06	16.523	30.65
16.773	41.94	17.024	30.55
17.274	41.94	17.525	30.55
17.774	42.06	18.025	30.55
18.275	41.94	18.525	30.76
18.776	41.94	19.026	30.55
