#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:17:09 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	41.44	0.501	24.40
0.750	41.20	1.001	24.40
1.251	41.20	1.502	24.50
1.752	41.32	2.003	24.40
2.253	41.44	2.503	24.40
2.753	41.44	3.004	24.40
3.254	41.44	3.505	24.40
3.755	41.44	4.006	24.40
4.256	41.32	4.506	24.40
4.756	41.32	5.006	24.40
5.257	41.32	5.507	24.50
5.758	41.44	6.008	24.40
6.258	41.20	6.508	24.30
6.759	41.32	7.009	24.50
7.260	41.32	7.510	24.50
7.761	41.56	8.011	24.40
8.261	41.56	8.511	24.40
8.762	41.44	9.012	24.50
9.263	41.44	9.513	24.50
9.764	41.56	10.013	24.50
10.264	41.56	10.514	24.50
10.765	41.44	11.015	24.50
11.265	41.56	11.516	24.61
11.766	41.69	12.016	24.40
12.266	41.56	12.517	24.50
12.767	41.44	13.018	24.50
13.268	41.56	13.519	24.61
13.769	41.56	14.019	24.50
14.269	41.44	14.520	24.50
14.770	41.44	15.021	24.50
15.271	41.44	15.522	24.50
15.771	41.56	16.022	24.61
16.272	41.44	16.523	24.50
