#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:17:09 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	42.06	0.501	23.98
0.750	42.18	1.001	23.98
1.251	42.31	1.502	23.98
1.752	42.06	2.003	24.09
2.253	42.06	2.503	23.88
2.753	42.18	3.004	23.98
3.254	42.18	3.505	23.98
3.755	42.18	4.006	23.88
4.256	42.31	4.506	23.98
4.756	42.18	5.007	23.88
5.257	42.18	5.508	23.88
5.758	42.31	6.009	23.88
6.258	42.31	6.508	23.88
6.759	42.31	7.009	23.78
7.260	42.31	7.510	23.88
7.761	42.18	8.011	23.98
8.261	42.18	8.511	23.78
8.762	42.31	9.012	23.88
9.263	42.18	9.513	23.78
9.764	42.31	10.013	23.78
10.264	42.31	10.514	23.88
10.765	42.43	11.015	23.88
11.266	42.31	11.516	23.67
11.767	42.31	12.016	23.67
12.267	42.18	12.517	23.88
12.767	42.31	13.018	23.67
13.268	42.43	13.519	23.78
13.769	42.31	14.019	23.88
14.269	42.43	14.520	23.88
14.770	42.43	15.021	23.78
15.271	42.31	15.522	23.88
15.771	42.43	16.022	23.78
16.272	42.43	16.523	23.78
16.773	42.31	17.024	23.88
17.274	42.43	17.525	23.78
17.774	42.43	18.025	23.67
