#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	42.69	0.500	42.01
0.750	42.69	1.001	41.89
1.251	42.69	1.502	42.01
1.752	42.56	2.002	42.01
2.252	42.56	2.503	42.01
2.753	42.69	3.004	42.01
3.254	42.69	3.505	41.89
3.755	42.69	4.005	42.01
4.255	42.56	4.506	41.89
4.756	42.69	5.007	42.01
5.257	42.69	5.508	42.01
5.757	42.56	6.008	42.01
6.258	42.56	6.508	41.89
6.759	42.69	7.009	42.01
7.260	42.56	7.510	42.01
7.760	42.56	8.010	41.89
8.261	42.69	8.511	42.01
8.762	42.69	9.012	42.01
9.263	42.56	9.512	42.01
9.763	42.56	10.013	41.89
10.264	42.56	10.514	41.89
10.765	42.69	11.015	42.01
11.266	42.43	11.515	42.01
11.766	42.56	12.016	42.01
12.267	42.56	12.517	42.01
12.767	42.56	13.018	41.89
13.267	42.56	13.518	41.89
13.768	42.43	14.019	41.89
14.269	42.43	14.520	41.89
14.770	42.56	15.021	41.89
15.270	42.43	15.521	41.89
15.771	42.43	16.022	41.89
16.272	42.56	16.523	41.76
16.773	42.43	17.024	41.89
17.273	42.43	17.524	41.89
17.774	42.43	18.025	41.89
18.275	42.56	18.526	41.89
18.776	42.56	19.025	41.89
19.276	42.43	19.526	41.89
19.777	42.56	20.027	42.01
