#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	42.06	0.501	30.76
0.751	42.06	1.001	30.76
1.252	41.94	1.502	30.65
1.752	42.06	2.002	30.76
2.253	41.94	2.503	30.65
2.754	42.06	3.004	30.76
3.255	41.94	3.504	30.76
3.755	42.18	4.005	30.87
4.256	42.06	4.506	30.87
4.757	42.06	5.007	30.76
5.258	41.94	5.507	30.87
5.758	42.06	6.008	30.65
6.259	42.06	6.509	30.76
6.760	42.06	7.010	30.76
7.259	42.06	7.510	30.76
7.760	41.94	8.011	30.76
8.261	42.06	8.512	30.76
8.762	42.06	9.013	30.87
9.262	42.06	9.513	30.65
9.763	42.06	10.014	30.76
10.264	41.94	10.515	30.76
10.765	42.06	11.016	30.76
11.265	41.81	11.516	30.76
11.766	41.94	12.017	30.87
12.267	42.06	12.518	30.76
12.768	41.94	13.017	30.76
13.268	41.94	13.518	30.76
13.769	41.81	14.019	30.76
14.270	41.94	14.520	30.65
14.771	41.94	15.020	30.87
15.271	41.81	15.521	30.87
15.772	41.94	16.022	30.76
16.273	41.94	16.523	30.87
16.773	41.94	17.023	30.76
17.274	41.81	17.524	30.87
17.775	41.81	18.025	30.87
18.276	41.94	18.526	30.87
18.776	41.94	19.026	30.87
