#Creator: pendulumEventBuffer
#Creation time: Tue Jan  1 01:30:49 2013
#Time	Period	Transit time
#[s]	[s]	[s]
227.194175	2.126223	0.015582
228.257252	2.126098	0.015632
229.320273	2.125980	0.015682
230.383232	2.125865	0.015732
231.446138	2.125746	0.015780
232.508978	2.125627	0.015828
233.571765	2.125511	0.015878
234.634489	2.125405	0.015926
235.697170	2.125303	0.015972
236.759792	2.125196	0.016020
237.822366	2.125080	0.016068
238.884872	2.124982	0.016116
239.947348	2.124880	0.016168
241.009752	2.124764	0.016220
242.072112	2.124663	0.016268
243.134415	2.124554	0.016314
244.196666	2.124443	0.016364
245.258858	2.124337	0.016416
246.321003	2.124230	0.016466
247.383088	2.124124	0.016516
248.445127	2.124022	0.016566
249.507110	2.123921	0.016616
250.569048	2.123815	0.016668
251.630925	2.123710	0.016718
252.692758	2.123603	0.016768
253.754528	2.123502	0.016820
254.816260	2.123413	0.016868
255.877941	2.123320	0.016918
256.939580	2.123218	0.016972
258.001159	2.123119	0.017026
259.062699	2.123020	0.017078
260.124179	2.122921	0.017130
261.185620	2.122831	0.017180
262.247010	2.122739	0.017228
263.308359	2.122642	0.017278
264.369652	2.122545	0.017332
265.430904	2.122448	0.017388
266.492100	2.122355	0.017440
267.553259	2.122268	0.017494
268.614368	2.122181	0.017548
269.675440	2.122093	0.017600
270.736461	2.122007	0.017650
271.797447	2.121920	0.017702
272.858381	2.121832	0.017758
273.919279	2.121748	0.017814
274.980129	2.121668	0.017870
276.040947	2.121575	0.017922
277.101704	2.121480	0.017972
278.162427	2.121395	0.018026
279.223099	2.121310	0.018078
280.283737	2.121227	0.018130
281.344326	2.121142	0.018188
282.404879	2.121056	0.018246
283.465382	2.120967	0.018300
284.525846	2.120880	0.018356
285.586262	2.120796	0.018412
286.646642	2.120717	0.018464
287.706979	2.120638	0.018518
288.767280	2.120557	0.018576
289.827536	2.120473	0.018636
290.887753	2.120394	0.018694
291.947930	2.120322	0.018744
293.008075	2.120241	0.018798
294.068171	2.120160	0.018858
295.128235	2.120081	0.018914
296.188252	2.120001	0.018968
297.248236	2.119918	0.019024
298.308170	2.119849	0.019080
299.368085	2.119775	0.019138
300.427945	2.119690	0.019198
301.487775	2.119618	0.019258
302.547563	2.119547	0.019314
303.607322	2.119476	0.019372
304.667039	2.119405	0.019430
305.726727	2.119321	0.019490
306.786360	2.119246	0.019548
307.845973	2.119183	0.019602
308.905543	2.119109	0.019662
309.965082	2.119034	0.019724
311.024577	2.118964	0.019786
312.084046	2.118897	0.019844
313.143474	2.118832	0.019904
314.202878	2.118766	0.019968
315.262240	2.118693	0.020028
316.321571	2.118621	0.020086
317.380861	2.118561	0.020142
318.440132	2.118498	0.020204
319.499359	2.118431	0.020266
320.558563	2.118367	0.020326
321.617726	2.118293	0.020388
322.676856	2.118228	0.020448
323.735954	2.118173	0.020512
324.795029	2.118083	0.020574
325.854037	2.118000	0.020634
326.913029	2.117945	0.020698
327.971982	2.117882	0.020756
329.030911	2.117821	0.020818
330.089803	2.117756	0.020886
331.148667	2.117687	0.020946
332.207490	2.117625	0.021004
333.266292	2.117569	0.021068
334.325059	2.117513	0.021134
335.383805	2.117450	0.021198
336.442509	2.117387	0.021258
337.501192	2.117326	0.021320
338.559835	2.117262	0.021386
339.618454	2.117198	0.021452
340.677033	2.117138	0.021518
341.735592	2.117079	0.021584
342.794112	2.117017	0.021644
343.852609	2.116952	0.021710
344.911064	2.116889	0.021776
345.969498	2.116830	0.021840
347.027894	2.116771	0.021900
348.086269	2.116717	0.021966
349.144611	2.116665	0.022038
350.202934	2.116600	0.022104
351.261211	2.116535	0.022170
352.319469	2.116465	0.022234
353.377676	2.116399	0.022300
354.435868	2.116358	0.022368
355.494034	2.116317	0.022440
356.552185	2.116261	0.022506
357.610295	2.116202	0.022570
358.668387	2.116143	0.022638
359.726438	2.116083	0.022708
360.784470	2.116028	0.022780
361.842466	2.115980	0.022844
362.900450	2.115933	0.022912
363.958399	2.115878	0.022986
365.016328	2.115829	0.023052
366.074228	2.115796	0.023120
367.132124	2.115741	0.023192
368.189969	2.115673	0.023258
369.247797	2.115630	0.023326
370.305599	2.115579	0.023390
371.363376	2.115521	0.023460
372.421120	2.115475	0.023540
373.478851	2.115430	0.023614
374.536550	2.115373	0.023680
375.594224	2.115331	0.023752
376.651881	2.115282	0.023826
