#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	34.55	0.501	30.33
0.752	34.55	1.002	30.44
1.253	34.55	1.503	30.44
1.754	34.55	2.003	30.33
2.254	34.55	2.504	30.33
2.754	34.55	3.005	30.33
3.255	34.55	3.506	30.33
3.755	34.66	4.006	30.33
4.256	34.44	4.507	30.33
4.757	34.66	5.008	30.33
5.258	34.44	5.509	30.44
5.758	34.55	6.009	30.33
6.259	34.44	6.510	30.33
6.760	34.44	7.011	30.33
7.261	34.44	7.511	30.22
7.761	34.55	8.012	30.33
8.262	34.44	8.513	30.33
8.763	34.44	9.013	30.33
9.264	34.44	9.513	30.22
9.764	34.44	10.014	30.33
10.265	34.33	10.515	30.33
10.766	34.44	11.016	30.33
11.266	34.33	11.516	30.33
11.767	34.33	12.017	30.22
12.268	34.33	12.518	30.33
12.769	34.33	13.019	30.22
13.269	34.44	13.519	30.22
13.770	34.33	14.020	30.33
14.271	34.33	14.521	30.22
14.772	34.33	15.021	30.22
15.271	34.44	15.522	30.33
15.772	34.44	16.023	30.33
16.273	34.44	16.524	30.22
16.774	34.33	17.024	30.33
17.274	34.33	17.525	30.33
17.775	34.44	18.026	30.22
18.276	34.33	18.527	30.33
18.776	34.44	19.027	30.22
19.277	34.44	19.528	30.22
19.778	34.44	20.029	30.33
20.279	34.55	20.530	30.33
20.779	34.33	21.029	30.33
21.280	34.55	21.530	30.22
21.781	34.44	22.031	30.22
22.282	34.55	22.531	30.33
22.782	34.55	23.032	30.22
23.283	34.44	23.533	30.22
23.784	34.55	24.034	30.11
24.285	34.55	24.534	30.11
24.785	34.44	25.035	30.33
