#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	34.89	0.500	32.96
0.751	34.77	1.001	32.96
1.252	34.89	1.502	32.85
1.752	34.77	2.002	33.07
2.253	34.66	2.503	33.07
2.754	34.77	3.004	32.96
3.255	34.66	3.505	33.07
3.755	34.77	4.005	33.07
4.256	34.77	4.506	33.07
4.757	34.66	5.007	33.07
5.258	34.66	5.507	33.07
5.758	34.66	6.008	33.07
6.258	34.66	6.509	33.07
6.759	34.66	7.010	33.07
7.260	34.77	7.510	33.07
7.760	34.77	8.011	33.07
8.261	34.66	8.512	33.07
8.762	34.55	9.013	33.07
9.262	34.66	9.513	33.19
9.763	34.77	10.014	33.07
10.264	34.77	10.515	33.19
10.765	34.77	11.016	33.19
11.265	34.66	11.516	33.07
11.766	34.66	12.016	33.07
12.267	34.77	12.517	33.19
12.768	34.66	13.018	33.19
13.268	34.66	13.518	33.07
13.769	34.66	14.019	33.30
14.270	34.66	14.520	33.19
14.771	34.55	15.020	33.19
15.271	34.55	15.521	33.30
15.772	34.55	16.022	33.30
16.273	34.55	16.523	33.19
16.774	34.44	17.023	33.19
17.274	34.44	17.524	33.30
17.774	34.55	18.025	33.19
18.275	34.44	18.526	33.30
18.775	34.44	19.026	33.19
19.276	34.44	19.527	33.19
19.777	34.44	20.028	33.30
20.278	34.55	20.529	33.19
20.778	34.55	21.029	33.19
21.279	34.44	21.530	33.07
21.780	34.55	22.031	33.19
22.281	34.55	22.531	33.19
22.781	34.55	23.032	33.19
23.282	34.55	23.533	33.07
23.783	34.55	24.033	33.19
24.284	34.55	24.533	33.19
24.784	34.44	25.034	33.19
25.285	34.55	25.535	33.07
25.786	34.55	26.036	33.19
26.286	34.55	26.536	33.19
26.787	34.55	27.037	33.19
27.288	34.55	27.538	33.19
27.789	34.55	28.039	33.19
28.289	34.55	28.539	33.07
28.790	34.55	29.040	33.07
29.291	34.44	29.541	33.19
29.792	34.55	30.042	33.19
30.292	34.55	30.542	33.19
30.792	34.44	31.043	33.19
31.293	34.44	31.544	33.07
31.794	34.44	32.044	33.19
32.294	34.44	32.545	33.19
32.795	34.33	33.046	33.07
33.296	34.33	33.547	33.19
