#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	33.89	0.500	25.75
0.750	33.78	1.001	25.86
1.251	33.78	1.502	25.75
1.752	33.89	2.003	25.75
2.252	33.89	2.503	25.75
2.753	33.89	3.004	25.75
3.254	33.89	3.505	25.86
3.755	33.89	4.005	25.86
4.255	33.89	4.506	25.86
4.756	33.89	5.007	25.75
5.257	33.89	5.508	25.86
5.758	34.00	6.008	25.86
6.258	33.89	6.509	25.75
6.759	34.00	7.009	25.86
7.260	34.00	7.510	25.75
7.760	33.89	8.010	25.86
8.261	34.00	8.511	25.96
8.762	34.00	9.012	25.86
9.263	34.00	9.513	25.86
9.763	34.11	10.013	25.86
10.264	34.00	10.514	25.86
10.765	34.11	11.015	25.86
11.266	34.11	11.516	25.86
11.766	34.11	12.016	25.86
12.267	34.11	12.517	25.86
12.767	34.22	13.018	25.86
13.268	34.11	13.518	25.86
13.768	34.22	14.019	25.96
14.269	34.22	14.520	25.75
14.770	34.11	15.021	25.86
15.271	34.11	15.521	25.86
15.771	34.22	16.022	25.75
16.272	34.33	16.523	25.75
16.773	34.33	17.024	25.86
17.273	34.11	17.524	25.96
17.774	34.11	18.025	25.96
18.275	34.22	18.526	25.75
18.776	34.33	19.026	25.86
19.276	34.33	19.526	25.86
19.777	34.22	20.027	25.86
20.278	34.22	20.528	25.96
20.779	34.22	21.028	25.86
21.279	34.22	21.529	25.86
21.780	34.22	22.030	25.86
22.281	34.22	22.531	25.75
22.782	34.33	23.031	25.75
23.282	34.33	23.532	25.75
23.783	34.33	24.033	25.86
24.284	34.33	24.534	25.86
24.784	34.22	25.034	25.86
25.285	34.33	25.535	25.75
25.785	34.33	26.036	25.75
26.286	34.33	26.537	25.86
26.786	34.22	27.037	25.75
27.287	34.22	27.538	25.86
27.788	34.33	28.039	25.75
28.289	34.22	28.540	25.75
28.789	34.22	29.040	25.86
29.290	34.22	29.541	25.86
29.791	34.22	30.042	25.86
30.292	34.22	30.542	25.65
30.792	34.22	31.043	25.75
31.293	34.11	31.543	25.75
31.794	34.11	32.044	25.86
32.295	34.22	32.544	25.75
32.795	34.22	33.045	25.65
