#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	34.66	0.501	27.65
0.752	34.66	1.001	27.54
1.252	34.66	1.502	27.54
1.753	34.55	2.003	27.65
2.253	34.66	2.504	27.54
2.754	34.44	3.004	27.65
3.254	34.55	3.505	27.76
3.755	34.55	4.006	27.65
4.256	34.55	4.507	27.76
4.757	34.55	5.007	27.76
5.257	34.55	5.508	27.54
5.758	34.66	6.009	27.65
6.259	34.55	6.510	27.54
6.759	34.55	7.010	27.65
7.260	34.55	7.511	27.54
7.761	34.55	8.011	27.65
8.262	34.55	8.512	27.65
8.762	34.55	9.012	27.54
9.263	34.44	9.513	27.65
9.764	34.44	10.014	27.65
10.265	34.33	10.514	27.65
10.765	34.44	11.015	27.65
11.266	34.44	11.516	27.65
11.767	34.44	12.017	27.54
12.268	34.44	12.517	27.54
12.768	34.44	13.018	27.54
13.269	34.55	13.519	27.65
13.770	34.44	14.020	27.54
14.269	34.44	14.520	27.54
14.770	34.44	15.021	27.65
15.271	34.55	15.522	27.54
15.772	34.33	16.023	27.54
16.272	34.44	16.523	27.65
16.773	34.44	17.024	27.65
17.274	34.44	17.525	27.54
17.775	34.44	18.025	27.54
18.275	34.44	18.526	27.44
18.776	34.44	19.027	27.44
19.277	34.44	19.528	27.44
19.778	34.55	20.028	27.44
