#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	33.34	0.501	23.26
0.751	33.23	1.001	23.26
1.252	33.12	1.502	23.26
1.753	33.12	2.003	23.36
2.253	33.12	2.503	23.26
2.753	33.12	3.004	23.36
3.254	33.12	3.505	23.26
3.755	33.12	4.006	23.36
4.256	33.01	4.506	23.36
4.756	32.90	5.007	23.47
5.257	33.01	5.508	23.36
5.758	33.01	6.009	23.26
6.259	32.90	6.509	23.36
6.759	32.90	7.010	23.47
7.260	32.79	7.511	23.36
7.761	32.90	8.012	23.36
8.261	32.68	8.511	23.36
8.762	32.68	9.012	23.36
9.263	32.79	9.513	23.36
9.764	32.68	10.014	23.26
10.264	32.68	10.514	23.36
10.765	32.68	11.015	23.26
11.266	32.68	11.516	23.36
11.767	32.57	12.016	23.47
12.267	32.46	12.517	23.47
12.768	32.46	13.018	23.36
13.269	32.36	13.519	23.36
13.770	32.36	14.019	23.36
14.270	32.36	14.520	23.47
14.770	32.36	15.021	23.36
15.271	32.36	15.522	23.47
15.771	32.25	16.022	23.36
16.272	32.36	16.523	23.36
16.773	32.36	17.024	23.36
17.274	32.25	17.525	23.36
17.774	32.25	18.025	23.47
18.275	32.25	18.526	23.36
18.776	32.36	19.027	23.47
19.277	32.25	19.527	23.36
19.777	32.25	20.028	23.36
