#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	34.22	0.501	27.54
0.752	34.33	1.002	27.65
1.252	34.33	1.503	27.54
1.752	34.33	2.003	27.65
2.253	34.22	2.504	27.65
2.754	34.22	3.005	27.76
3.255	34.22	3.506	27.76
3.755	34.22	4.006	27.76
4.256	34.22	4.507	27.76
4.757	34.33	5.008	27.76
5.258	34.22	5.508	27.65
5.758	34.33	6.009	27.65
6.259	34.33	6.510	27.76
6.760	34.33	7.010	27.76
7.261	34.33	7.510	27.76
7.761	34.33	8.011	27.76
8.262	34.33	8.512	27.86
8.763	34.33	9.013	27.86
9.263	34.33	9.513	27.86
9.764	34.33	10.014	27.86
10.265	34.22	10.515	27.86
10.766	34.33	11.016	27.86
11.266	34.22	11.516	27.86
11.767	34.22	12.017	27.86
12.268	34.33	12.518	27.86
12.769	34.22	13.018	27.97
13.268	34.33	13.519	27.97
13.769	34.22	14.020	27.97
14.270	34.33	14.521	27.97
14.771	34.22	15.021	28.08
15.271	34.33	15.522	27.97
15.772	34.22	16.023	28.08
16.273	34.33	16.524	28.08
16.773	34.44	17.024	28.08
17.274	34.44	17.525	28.18
17.775	34.44	18.026	28.08
18.276	34.44	18.527	27.97
18.776	34.33	19.026	28.18
19.277	34.44	19.527	27.97
19.778	34.55	20.028	28.08
20.279	34.55	20.528	28.08
20.779	34.55	21.029	28.08
21.280	34.55	21.530	28.08
21.781	34.55	22.031	28.08
22.282	34.55	22.531	27.97
22.782	34.55	23.032	28.08
23.283	34.55	23.533	28.18
23.784	34.55	24.034	28.08
24.285	34.55	24.534	28.18
24.785	34.44	25.035	28.18
25.285	34.55	25.536	28.18
25.786	34.55	26.037	28.18
26.286	34.55	26.537	28.18
26.787	34.66	27.038	28.08
27.288	34.66	27.539	28.18
