#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	33.56	0.501	26.91
0.752	33.56	1.001	26.91
1.252	33.56	1.502	26.91
1.753	33.56	2.003	27.02
2.253	33.45	2.504	27.02
2.754	33.45	3.004	26.91
3.254	33.56	3.505	26.80
3.755	33.56	4.006	26.91
4.256	33.56	4.507	27.02
4.756	33.45	5.007	27.02
5.257	33.34	5.508	27.02
5.758	33.45	6.009	26.91
6.259	33.56	6.510	26.91
6.759	33.45	7.010	26.91
7.260	33.45	7.511	27.02
7.761	33.56	8.011	27.02
8.262	33.45	8.512	27.12
8.762	33.56	9.012	27.12
9.263	33.45	9.513	27.12
9.764	33.67	10.014	27.02
10.265	33.56	10.514	27.02
10.765	33.67	11.015	27.02
11.266	33.45	11.516	27.12
11.767	33.56	12.017	27.12
12.268	33.67	12.517	27.02
12.768	33.67	13.018	27.02
13.269	33.67	13.519	27.02
13.770	33.67	14.020	27.02
14.269	33.56	14.520	27.02
14.770	33.67	15.021	27.02
15.271	33.56	15.522	27.12
15.772	33.67	16.023	27.02
16.272	33.78	16.523	27.02
16.773	33.78	17.024	27.02
17.274	33.78	17.525	27.02
17.775	33.56	18.025	27.12
18.275	33.67	18.526	27.02
18.776	33.67	19.027	27.02
19.277	33.67	19.528	27.12
19.778	33.78	20.028	27.02
20.278	33.78	20.528	26.91
20.779	33.78	21.029	27.02
