#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	34.44	0.500	28.93
0.751	34.44	1.001	28.93
1.252	34.55	1.502	28.93
1.753	34.55	2.002	28.93
2.253	34.44	2.503	29.04
2.754	34.55	3.004	28.93
3.255	34.44	3.505	28.93
3.756	34.44	4.005	28.93
4.256	34.44	4.506	28.93
4.756	34.33	5.007	29.04
5.257	34.33	5.508	29.04
5.757	34.44	6.008	29.04
6.258	34.44	6.509	29.04
6.759	34.44	7.010	29.04
7.260	34.44	7.511	28.93
7.760	34.44	8.011	28.82
8.261	34.44	8.512	28.93
8.762	34.44	9.013	29.04
9.263	34.44	9.514	28.82
9.763	34.44	10.014	28.93
10.264	34.33	10.515	28.93
10.765	34.44	11.015	28.93
11.266	34.33	11.515	28.93
11.766	34.44	12.016	28.93
12.267	34.33	12.517	29.04
12.768	34.44	13.018	28.93
13.269	34.44	13.518	28.93
13.769	34.33	14.019	29.04
14.270	34.33	14.520	28.93
14.771	34.44	15.021	28.93
15.271	34.33	15.521	29.04
15.772	34.33	16.022	29.04
16.273	34.33	16.523	29.04
16.773	34.33	17.024	29.04
17.273	34.33	17.524	29.14
17.774	34.33	18.025	29.04
18.275	34.33	18.526	29.14
18.776	34.33	19.026	29.14
19.276	34.33	19.527	29.14
19.777	34.33	20.028	29.14
20.278	34.33	20.529	29.14
20.779	34.33	21.029	29.04
