#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	30.75	0.501	24.19
0.751	30.75	1.002	24.30
1.252	30.64	1.503	24.30
1.752	30.64	2.003	24.40
2.253	30.64	2.504	24.30
2.754	30.75	3.005	24.40
3.255	30.53	3.505	24.40
3.755	30.53	4.006	24.40
4.256	30.64	4.507	24.30
4.757	30.75	5.008	24.30
5.258	30.75	5.508	24.40
5.758	30.64	6.009	24.40
6.259	30.75	6.509	24.40
6.760	30.75	7.010	24.30
7.260	30.75	7.510	24.40
7.761	30.64	8.011	24.40
8.262	30.64	8.512	24.30
8.763	30.64	9.013	24.30
9.263	30.64	9.513	24.40
9.764	30.53	10.014	24.40
10.265	30.43	10.515	24.30
10.766	30.64	11.015	24.30
11.266	30.53	11.516	24.40
11.767	30.53	12.017	24.40
12.268	30.53	12.518	24.30
12.768	30.64	13.018	24.30
13.268	30.64	13.519	24.40
13.769	30.43	14.020	24.40
14.270	30.53	14.521	24.50
14.770	30.53	15.021	24.30
15.271	30.64	15.522	24.40
15.772	30.64	16.023	24.40
16.273	30.53	16.524	24.40
16.773	30.53	17.024	24.30
17.274	30.64	17.525	24.40
17.775	30.53	18.026	24.40
18.276	30.64	18.526	24.40
18.776	30.53	19.026	24.40
19.277	30.64	19.527	24.50
19.778	30.53	20.028	24.40
20.279	30.64	20.528	24.40
