#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	32.46	0.501	25.13
0.751	32.57	1.002	25.23
1.252	32.57	1.503	25.13
1.752	32.68	2.003	25.13
2.253	32.68	2.504	25.13
2.754	32.57	3.005	25.13
3.255	32.68	3.505	25.23
3.755	32.68	4.006	25.23
4.256	32.79	4.507	25.13
4.757	32.79	5.008	25.13
5.258	32.79	5.508	25.23
5.758	32.79	6.008	25.23
6.259	32.68	6.509	25.23
6.760	32.79	7.010	25.13
7.260	32.90	7.510	25.13
7.761	32.90	8.011	25.23
8.262	32.79	8.512	25.13
8.763	32.90	9.013	25.23
9.263	32.90	9.513	25.13
9.764	33.01	10.014	25.23
10.265	33.01	10.515	25.23
10.766	32.90	11.016	25.34
11.266	32.90	11.516	25.23
11.766	32.90	12.017	25.23
12.267	33.12	12.518	25.23
12.768	33.01	13.018	25.23
13.268	32.90	13.519	25.34
13.769	33.01	14.020	25.23
14.270	33.01	14.521	25.23
14.771	33.12	15.021	25.23
15.271	33.12	15.522	25.23
15.772	33.01	16.023	25.34
16.273	33.12	16.524	25.34
16.773	33.12	17.024	25.23
17.274	33.12	17.525	25.23
17.775	33.23	18.025	25.23
18.276	33.12	18.526	25.23
18.776	33.12	19.026	25.13
19.277	33.23	19.527	25.13
19.778	33.23	20.028	25.23
20.279	33.23	20.528	25.34
20.779	33.12	21.029	25.23
21.280	33.23	21.530	25.13
21.781	33.34	22.031	25.23
22.282	33.23	22.531	25.23
22.782	33.23	23.032	25.13
23.283	33.23	23.533	25.23
23.784	33.34	24.034	25.23
24.283	33.34	24.534	25.13
24.784	33.34	25.035	25.23
25.285	33.34	25.536	25.13
25.786	33.34	26.037	25.23
26.286	33.34	26.537	25.13
26.787	33.45	27.038	25.13
27.288	33.45	27.539	25.13
27.789	33.45	28.040	25.23
28.289	33.45	28.540	25.13
28.790	33.45	29.041	25.13
29.291	33.56	29.542	25.13
29.792	33.45	30.041	25.13
30.292	33.45	30.542	25.13
