#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	34.77	0.501	32.30
0.751	34.77	1.002	32.30
1.251	34.77	1.502	32.30
1.752	34.66	2.003	32.30
2.253	34.66	2.504	32.30
2.754	34.66	3.005	32.41
3.254	34.89	3.504	32.30
3.755	34.77	4.005	32.30
4.256	34.77	4.506	32.30
4.757	34.89	5.006	32.41
5.257	34.66	5.507	32.41
5.758	34.89	6.008	32.30
6.259	34.89	6.509	32.30
6.760	34.66	7.009	32.30
7.260	34.89	7.510	32.41
7.761	34.77	8.011	32.30
8.262	34.77	8.512	32.30
8.763	34.89	9.012	32.30
9.263	34.77	9.513	32.30
9.763	34.77	10.014	32.41
10.264	34.77	10.515	32.41
10.764	34.77	11.015	32.30
11.265	34.89	11.516	32.30
11.766	34.89	12.017	32.41
12.267	34.66	12.518	32.41
12.767	34.77	13.018	32.41
13.268	34.77	13.519	32.41
13.769	34.77	14.020	32.52
14.270	34.77	14.520	32.41
14.770	34.66	15.021	32.41
15.271	34.66	15.522	32.41
15.772	34.77	16.022	32.52
16.273	34.66	16.522	32.41
16.773	34.66	17.023	32.52
17.274	34.89	17.524	32.52
17.775	34.77	18.025	32.41
18.275	34.66	18.525	32.41
18.776	34.89	19.026	32.30
19.277	34.89	19.527	32.30
19.778	34.77	20.028	32.30
20.278	34.77	20.528	32.30
20.779	34.89	21.029	32.41
21.280	34.89	21.530	32.30
21.781	34.89	22.030	32.30
22.280	34.77	22.531	32.30
22.781	34.77	23.032	32.30
23.282	34.77	23.533	32.30
23.783	34.77	24.033	32.41
24.283	34.77	24.534	32.30
