#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.249	32.36	0.500	22.85
0.750	32.36	1.000	22.74
1.251	32.46	1.501	22.85
1.752	32.57	2.001	22.95
2.252	32.68	2.502	22.74
2.753	32.90	3.003	22.85
3.254	32.90	3.504	22.85
3.755	32.79	4.004	22.85
4.255	33.01	4.505	22.74
4.756	33.01	5.006	22.74
5.257	33.12	5.507	22.85
5.758	33.12	6.007	22.85
6.258	33.12	6.508	22.95
6.759	33.23	7.009	22.74
7.259	33.34	7.510	22.74
7.759	33.23	8.010	22.85
8.260	33.23	8.511	22.85
8.761	33.34	9.012	22.74
9.262	33.34	9.513	22.85
9.762	33.45	10.013	22.74
10.263	33.23	10.514	22.95
10.764	33.34	11.015	22.85
11.265	33.45	11.515	22.74
11.765	33.45	12.016	22.85
12.266	33.45	12.517	22.85
12.767	33.56	13.017	22.85
13.268	33.56	13.517	22.85
13.768	33.45	14.018	22.74
14.269	33.67	14.519	22.95
14.770	33.56	15.020	22.85
15.270	33.67	15.520	22.74
15.771	33.67	16.021	22.85
16.272	33.67	16.522	22.95
