#Creator: tempmonitorEventBuffer
#Creation time: Mon Nov 21 00:08:11 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	34.89	0.501	34.65
0.752	35.00	1.001	34.76
1.252	35.11	1.502	34.65
1.752	35.11	2.003	34.76
2.253	34.89	2.504	34.76
2.754	35.11	3.004	34.65
3.254	35.11	3.505	34.65
3.755	35.11	4.006	34.87
4.256	35.11	4.507	34.65
4.756	35.11	5.007	34.87
5.257	35.00	5.508	34.87
5.758	35.00	6.009	34.99
6.259	35.00	6.510	34.76
6.759	34.89	7.010	34.76
7.260	34.89	7.510	34.87
7.761	35.00	8.011	34.87
8.262	35.11	8.511	34.87
8.762	35.00	9.012	34.87
9.263	35.00	9.513	34.87
9.764	35.00	10.014	34.76
10.265	34.77	10.514	34.99
10.765	34.77	11.015	34.76
11.266	34.89	11.516	34.99
11.767	34.89	12.017	34.99
12.267	34.77	12.517	34.99
12.768	34.77	13.018	34.87
13.269	35.00	13.519	34.99
13.769	34.89	14.020	34.99
14.269	34.89	14.520	34.99
14.770	35.00	15.021	34.99
15.271	34.89	15.522	34.99
15.772	34.77	16.022	35.10
16.272	34.89	16.523	35.10
16.773	34.89	17.024	35.10
17.274	34.77	17.525	35.10
17.775	35.00	18.025	35.10
18.275	34.77	18.526	34.99
18.776	35.00	19.026	34.99
19.277	35.00	19.527	34.99
19.778	35.00	20.027	35.22
20.278	34.89	20.528	34.99
20.779	35.00	21.029	35.10
21.280	34.89	21.530	35.22
21.780	34.89	22.030	35.22
22.281	35.00	22.531	35.10
