#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	34.11	0.501	32.08
0.751	34.22	1.002	32.08
1.251	34.22	1.502	31.97
1.752	34.22	2.003	31.97
2.253	34.22	2.504	31.97
2.754	34.22	3.004	31.97
3.254	34.22	3.504	31.86
3.755	34.22	4.005	31.97
4.256	34.22	4.506	31.86
4.757	34.22	5.006	31.86
5.257	34.22	5.507	31.75
5.758	34.22	6.008	31.86
6.259	34.11	6.509	31.97
6.760	34.11	7.009	31.86
7.260	34.11	7.510	31.86
7.761	34.00	8.011	31.86
8.262	34.00	8.512	31.86
8.761	34.11	9.012	31.75
9.262	34.11	9.513	31.86
9.763	34.11	10.014	31.75
10.264	34.00	10.515	31.75
10.764	34.00	11.015	31.75
11.265	34.00	11.516	31.64
11.766	34.11	12.017	31.64
12.267	34.11	12.517	31.64
12.767	34.11	13.018	31.64
13.268	34.11	13.519	31.64
13.769	34.11	14.020	31.53
14.270	34.11	14.519	31.53
14.770	34.11	15.020	31.53
15.271	34.00	15.521	31.53
15.772	34.11	16.022	31.53
16.273	34.11	16.522	31.53
16.773	34.11	17.023	31.42
17.274	34.00	17.524	31.53
17.775	34.11	18.025	31.53
18.275	34.00	18.525	31.53
18.776	34.00	19.026	31.42
19.277	34.00	19.527	31.53
19.778	34.00	20.028	31.42
20.278	34.00	20.528	31.53
20.778	34.00	21.029	31.42
21.279	34.00	21.530	31.42
21.780	34.00	22.030	31.53
22.280	34.00	22.531	31.42
22.781	34.00	23.032	31.53
23.282	34.00	23.533	31.42
23.783	34.00	24.033	31.53
24.283	34.11	24.534	31.31
