#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	34.11	0.501	26.28
0.752	34.00	1.001	26.17
1.252	33.89	1.502	26.38
1.753	33.89	2.003	26.28
2.254	33.89	2.504	26.17
2.755	34.00	3.004	26.28
3.255	33.89	3.505	26.28
3.755	33.78	4.006	26.38
4.256	33.89	4.507	26.28
4.756	34.00	5.007	26.28
5.257	34.00	5.508	26.38
5.758	33.89	6.009	26.38
6.259	33.89	6.510	26.17
6.759	34.00	7.010	26.28
7.260	34.00	7.511	26.28
7.761	33.89	8.012	26.38
8.262	33.89	8.512	26.28
8.762	34.00	9.013	26.17
9.263	34.00	9.514	26.28
9.764	33.89	10.014	26.28
10.265	34.00	10.514	26.38
10.765	34.00	11.015	26.17
11.266	34.00	11.516	26.28
11.767	34.00	12.017	26.38
12.267	33.89	12.517	26.38
12.768	34.00	13.018	26.28
13.269	34.11	13.519	26.28
13.770	34.00	14.020	26.28
14.270	34.00	14.520	26.28
14.771	33.89	15.021	26.28
15.272	33.89	15.522	26.28
15.773	34.00	16.022	26.28
16.273	33.89	16.523	26.28
16.773	34.00	17.024	26.38
17.274	33.89	17.525	26.38
17.775	33.89	18.025	26.38
18.275	34.00	18.526	26.28
18.776	34.00	19.027	26.38
19.277	33.89	19.528	26.38
19.777	33.89	20.028	26.38
20.278	34.00	20.529	26.28
20.779	34.00	21.030	26.28
21.280	33.89	21.531	26.38
21.780	33.89	22.031	26.38
22.281	33.89	22.531	26.38
22.782	34.00	23.032	26.28
23.283	34.00	23.532	26.38
23.783	33.78	24.033	26.38
24.284	33.89	24.534	26.28
24.785	33.89	25.035	26.28
25.286	33.89	25.535	26.28
25.786	33.78	26.036	26.28
26.287	33.89	26.537	26.49
26.788	33.78	27.038	26.38
27.289	33.78	27.538	26.38
27.789	33.89	28.039	26.28
28.290	33.89	28.540	26.38
28.790	33.89	29.041	26.38
29.290	33.78	29.541	26.49
29.791	33.78	30.042	26.38
30.292	33.78	30.543	26.38
30.793	34.00	31.044	26.38
31.293	33.89	31.544	26.28
31.794	33.78	32.045	26.38
32.295	33.89	32.546	26.49
32.796	33.89	33.046	26.38
33.296	34.00	33.547	26.28
33.797	34.00	34.048	26.28
34.298	34.00	34.548	26.38
34.799	33.89	35.048	26.49
35.299	33.89	35.549	26.38
35.800	33.89	36.050	26.28
36.301	33.89	36.551	26.38
36.801	34.00	37.051	26.38
37.302	33.78	37.552	26.38
37.803	33.89	38.053	26.28
38.304	33.89	38.554	26.28
38.804	33.89	39.054	26.38
39.305	33.89	39.555	26.38
39.806	33.89	40.056	26.38
40.307	33.78	40.556	26.38
40.806	33.89	41.057	26.49
41.307	33.89	41.558	26.38
41.808	33.89	42.059	26.28
42.309	34.00	42.559	26.38
42.809	33.89	43.060	26.38
43.310	34.00	43.561	26.38
43.811	33.89	44.062	26.49
44.311	33.89	44.562	26.38
44.812	34.00	45.063	26.49
45.313	34.00	45.564	26.28
45.814	34.00	46.065	26.38
46.314	34.11	46.565	26.49
46.815	33.89	47.065	26.38
47.316	34.00	47.566	26.49
47.817	34.00	48.067	26.38
48.317	34.00	48.567	26.28
48.818	34.11	49.068	26.28
49.319	34.11	49.569	26.38
49.820	34.00	50.069	26.38
50.320	33.89	50.570	26.49
50.821	34.00	51.071	26.49
51.322	34.00	51.572	26.28
51.823	34.00	52.072	26.38
52.323	34.11	52.573	26.28
52.823	33.89	53.074	26.38
53.324	33.89	53.575	26.38
53.824	34.00	54.075	26.38
54.325	34.00	54.576	26.38
54.826	34.00	55.077	26.38
55.327	33.89	55.578	26.38
55.827	33.89	56.078	26.38
56.328	33.89	56.579	26.28
56.829	34.00	57.080	26.38
