#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	34.33	0.501	29.25
0.751	34.44	1.002	29.14
1.252	34.44	1.502	29.14
1.752	34.33	2.003	29.25
2.253	34.44	2.503	29.14
2.754	34.33	3.004	29.25
3.255	34.44	3.504	29.14
3.755	34.44	4.005	29.25
4.256	34.44	4.506	29.14
4.757	34.55	5.007	29.25
5.257	34.44	5.507	29.14
5.758	34.55	6.008	29.25
6.259	34.44	6.509	29.14
6.760	34.55	7.010	29.25
7.260	34.55	7.510	29.25
7.761	34.55	8.011	29.25
8.261	34.55	8.512	29.25
8.762	34.55	9.012	29.25
9.262	34.44	9.513	29.25
9.763	34.55	10.014	29.25
10.264	34.44	10.515	29.36
10.765	34.55	11.015	29.36
11.265	34.55	11.516	29.36
11.766	34.55	12.017	29.36
12.267	34.66	12.518	29.36
12.767	34.55	13.018	29.36
13.268	34.55	13.519	29.25
13.769	34.55	14.020	29.36
14.270	34.55	14.520	29.25
14.770	34.66	15.020	29.36
15.271	34.55	15.521	29.25
15.772	34.66	16.022	29.36
16.273	34.55	16.522	29.47
16.773	34.66	17.023	29.36
17.274	34.66	17.524	29.36
17.775	34.55	18.025	29.36
18.276	34.55	18.525	29.36
18.776	34.55	19.026	29.36
19.277	34.55	19.527	29.36
19.778	34.44	20.028	29.47
20.279	34.55	20.528	29.47
