#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	33.89	0.500	27.12
0.751	33.78	1.001	27.23
1.252	33.78	1.501	27.23
1.752	33.78	2.002	27.23
2.253	33.89	2.503	27.23
2.754	33.78	3.004	27.23
3.254	33.89	3.504	27.12
3.755	33.89	4.005	27.12
4.256	33.89	4.506	27.12
4.757	33.89	5.007	27.23
5.257	33.78	5.507	27.23
5.758	33.89	6.008	27.33
6.259	33.89	6.509	27.12
6.759	33.89	7.009	27.12
7.259	34.00	7.510	27.23
7.760	34.00	8.011	27.23
8.261	33.89	8.512	27.23
8.762	34.00	9.012	27.33
9.262	33.89	9.513	27.33
9.763	34.00	10.014	27.33
10.264	33.89	10.515	27.12
10.764	33.89	11.015	27.12
11.265	34.00	11.516	27.23
11.766	34.00	12.017	27.23
12.267	34.00	12.517	27.23
12.767	33.89	13.017	27.33
13.268	34.00	13.518	27.33
13.769	34.00	14.019	27.23
14.270	34.11	14.519	27.23
14.770	34.11	15.020	27.23
15.271	34.11	15.521	27.23
15.772	34.00	16.022	27.33
16.273	34.00	16.522	27.23
16.773	34.00	17.023	27.33
17.274	34.11	17.524	27.33
17.775	34.11	18.025	27.23
18.276	34.22	18.525	27.23
18.775	34.11	19.026	27.23
19.276	34.22	19.527	27.33
19.777	34.11	20.028	27.33
20.277	34.11	20.528	27.44
20.778	34.22	21.029	27.23
21.279	34.33	21.530	27.23
21.780	34.22	22.031	27.33
22.280	34.22	22.531	27.33
22.781	34.33	23.032	27.33
23.282	34.11	23.533	27.44
23.783	34.22	24.033	27.33
24.283	34.22	24.534	27.33
24.784	34.33	25.034	27.33
25.285	34.33	25.535	27.44
25.786	34.33	26.035	27.33
26.286	34.22	26.536	27.33
26.787	34.33	27.037	27.33
27.288	34.11	27.538	27.33
27.788	34.22	28.038	27.33
28.289	34.11	28.539	27.33
28.790	34.22	29.040	27.33
29.291	34.22	29.541	27.23
29.791	34.22	30.041	27.23
30.292	34.11	30.542	27.33
30.792	34.11	31.043	27.23
31.293	34.11	31.543	27.33
31.793	34.11	32.044	27.33
32.294	34.00	32.545	27.44
32.795	34.00	33.046	27.44
33.296	34.11	33.546	27.33
33.796	34.11	34.047	27.33
34.297	34.11	34.548	27.33
34.798	34.11	35.049	27.33
35.299	34.11	35.549	27.33
35.799	34.11	36.050	27.44
36.300	34.00	36.550	27.33
36.801	34.00	37.051	27.33
37.301	34.00	37.551	27.33
37.802	34.00	38.052	27.23
38.303	34.00	38.553	27.33
38.804	34.11	39.054	27.23
39.304	34.11	39.554	27.33
39.805	34.00	40.055	27.33
40.306	33.89	40.556	27.44
40.807	34.00	41.056	27.44
41.307	34.00	41.557	27.33
41.808	34.00	42.058	27.33
42.309	34.00	42.559	27.33
42.810	34.00	43.059	27.23
43.309	34.00	43.560	27.33
43.810	33.89	44.061	27.44
44.311	33.89	44.562	27.44
44.811	33.89	45.062	27.33
45.312	33.89	45.563	27.44
45.813	33.89	46.064	27.23
46.314	34.00	46.565	27.23
46.814	34.00	47.065	27.33
47.315	34.00	47.566	27.33
47.816	33.89	48.067	27.33
48.317	33.78	48.567	27.44
48.817	33.89	49.068	27.23
49.318	33.89	49.568	27.33
49.819	33.89	50.069	27.23
50.320	34.00	50.569	27.23
50.820	34.00	51.070	27.33
51.321	33.89	51.571	27.33
51.822	34.00	52.072	27.33
52.323	34.00	52.572	27.44
52.823	34.00	53.073	27.33
53.324	34.00	53.574	27.33
53.825	34.11	54.075	27.23
54.325	34.11	54.575	27.33
54.826	34.11	55.076	27.23
55.327	34.11	55.577	27.33
55.827	34.11	56.078	27.33
56.327	34.11	56.578	27.23
56.828	34.22	57.079	27.33
