#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	34.44	0.501	31.42
0.751	34.55	1.002	31.31
1.252	34.55	1.503	31.42
1.752	34.44	2.003	31.42
2.253	34.55	2.504	31.42
2.754	34.55	3.005	31.31
3.255	34.55	3.505	31.42
3.755	34.66	4.005	31.42
4.256	34.66	4.506	31.42
4.757	34.66	5.007	31.42
5.258	34.77	5.507	31.42
5.758	34.77	6.008	31.42
6.259	34.77	6.509	31.42
6.760	34.89	7.010	31.42
7.261	34.77	7.510	31.42
7.761	34.89	8.011	31.53
8.262	34.89	8.512	31.53
8.763	34.77	9.013	31.42
9.263	34.77	9.513	31.53
9.764	34.89	10.014	31.53
10.265	34.77	10.515	31.53
10.765	34.77	11.016	31.64
11.265	34.77	11.516	31.53
11.766	34.89	12.017	31.42
12.267	34.77	12.518	31.64
12.768	34.77	13.018	31.64
13.268	34.77	13.519	31.53
13.769	34.89	14.020	31.64
14.270	34.77	14.521	31.64
14.771	34.89	15.021	31.64
15.271	34.77	15.522	31.53
15.772	34.77	16.023	31.64
16.273	34.89	16.524	31.53
16.773	34.77	17.023	31.64
17.274	34.77	17.524	31.64
17.775	34.89	18.025	31.53
18.276	34.77	18.526	31.64
18.776	34.89	19.026	31.53
19.277	34.89	19.527	31.64
19.778	35.00	20.028	31.64
20.279	34.89	20.528	31.64
20.779	34.77	21.029	31.64
21.280	34.89	21.530	31.64
21.781	34.89	22.031	31.64
22.282	34.89	22.531	31.64
22.782	35.00	23.032	31.64
