#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	500	0.050	497
0.076	500	0.102	521
0.126	499	0.152	540
0.177	500	0.203	555
0.227	501	0.253	563
0.279	500	0.304	565
0.329	500	0.354	561
0.380	500	0.406	551
0.430	500	0.456	536
0.481	500	0.507	516
0.532	499	0.557	491
0.583	500	0.608	465
0.633	500	0.659	437
0.684	499	0.710	408
0.734	499	0.760	384
0.786	500	0.811	360
0.836	500	0.861	343
0.887	500	0.913	331
0.937	499	0.963	323
0.988	498	1.014	321
1.038	498	1.064	326
1.090	500	1.115	335
1.140	499	1.165	352
1.191	500	1.217	370
1.241	500	1.267	394
1.292	500	1.318	420
1.343	500	1.368	447
1.394	499	1.419	474
1.444	500	1.470	497
1.495	499	1.521	518
1.545	499	1.571	536
1.597	499	1.622	548
1.647	499	1.672	555
1.698	499	1.724	557
1.748	499	1.774	553
1.799	498	1.825	544
1.849	499	1.875	531
1.901	500	1.926	512
1.951	499	1.976	491
2.002	499	2.028	468
2.052	500	2.078	442
2.103	500	2.129	416
2.154	500	2.179	392
2.205	500	2.230	371
2.256	500	2.281	353
2.306	499	2.332	340
2.357	500	2.382	333
2.408	498	2.433	330
2.459	499	2.483	334
2.509	499	2.535	342
2.560	500	2.585	355
2.610	500	2.636	374
2.662	499	2.686	395
2.712	500	2.737	421
2.763	499	2.787	445
2.813	499	2.839	470
2.864	499	2.889	493
2.914	499	2.940	515
2.966	499	2.990	533
3.016	500	3.041	545
3.067	501	3.092	552
3.117	500	3.143	556
3.168	500	3.193	551
3.219	500	3.244	544
3.270	499	3.294	530
3.320	500	3.346	513
3.371	500	3.396	492
3.421	500	3.447	469
3.473	500	3.497	442
3.523	501	3.548	418
3.574	500	3.598	395
3.624	501	3.650	374
3.675	500	3.700	357
3.725	500	3.751	343
3.777	500	3.801	335
3.827	499	3.852	332
3.878	500	3.903	336
3.928	500	3.954	344
3.979	499	4.004	357
4.030	500	4.055	375
4.081	499	4.105	395
4.131	499	4.157	417
4.182	499	4.207	444
4.232	499	4.258	468
4.284	499	4.308	490
4.334	499	4.359	511
4.385	498	4.409	527
4.435	500	4.461	539
4.486	499	4.511	546
4.536	502	4.562	548
4.588	500	4.612	544
4.638	500	4.663	536
4.689	500	4.714	523
4.739	501	4.765	507
4.790	500	4.815	489
4.841	500	4.866	465
4.892	501	4.916	443
4.942	501	4.968	419
4.993	501	5.018	397
5.043	500	5.069	377
5.095	500	5.119	361
5.145	500	5.170	350
5.196	499	5.220	344
5.246	499	5.272	341
5.297	499	5.323	345
5.347	498	5.373	353
5.399	499	5.424	365
5.449	498	5.474	380
5.500	499	5.526	400
5.550	499	5.576	419
5.601	499	5.627	443
5.652	499	5.677	464
5.703	498	5.728	485
5.753	499	5.779	504
5.804	498	5.830	519
5.854	499	5.880	530
5.906	500	5.931	537
5.956	501	5.981	538
6.007	501	6.033	535
6.057	501	6.083	528
6.108	501	6.134	516
6.158	501	6.184	499
6.210	501	6.235	483
6.260	501	6.285	461
6.311	501	6.337	439
6.361	501	6.387	418
6.412	500	6.438	396
6.463	499	6.488	377
6.514	500	6.539	362
6.564	499	6.590	350
6.615	498	6.641	344
6.665	499	6.691	342
6.717	499	6.742	344
6.767	498	6.792	352
6.818	498	6.844	363
6.868	499	6.894	379
6.919	498	6.945	398
6.969	499	6.995	417
7.021	499	7.046	440
7.071	499	7.096	462
7.122	499	7.148	482
7.172	500	7.198	501
7.223	500	7.249	515
7.274	500	7.299	526
7.325	500	7.350	532
7.375	501	7.401	534
7.426	501	7.452	531
7.476	501	7.502	525
7.528	501	7.553	513
7.578	501	7.603	499
7.629	501	7.655	481
7.679	501	7.705	460
7.730	501	7.756	441
7.780	500	7.806	419
7.832	500	7.857	398
7.882	499	7.907	381
7.933	500	7.959	366
7.983	500	8.009	355
8.034	498	8.060	348
8.085	498	8.110	346
8.136	500	8.161	349
8.186	498	8.212	356
8.237	497	8.263	368
8.287	498	8.313	383
8.339	499	8.364	400
8.389	499	8.414	421
8.440	499	8.466	442
8.490	499	8.516	463
8.541	499	8.567	482
8.592	500	8.617	499
8.643	499	8.668	513
8.693	501	8.718	524
8.744	500	8.770	530
8.794	501	8.820	531
8.845	502	8.871	529
8.896	501	8.921	522
8.947	501	8.972	512
8.997	501	9.023	497
9.048	500	9.074	482
9.098	501	9.124	461
9.150	500	9.175	442
9.200	500	9.225	422
9.251	499	9.277	403
9.301	500	9.327	386
9.352	499	9.378	371
9.403	498	9.428	360
9.454	498	9.479	353
9.504	499	9.529	351
9.555	498	9.581	354
9.605	499	9.631	360
9.656	498	9.682	371
