#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	417	13.230	396
13.255	390	13.281	372
13.306	368	13.331	354
13.357	350	13.382	341
13.407	339	13.432	335
13.458	334	13.484	336
13.508	335	13.534	344
13.559	344	13.585	358
13.610	359	13.635	378
13.661	381	13.686	403
13.711	405	13.737	431
13.762	433	13.788	461
13.812	463	13.838	492
13.864	495	13.889	522
13.914	526	13.939	549
13.965	554	13.991	572
14.015	579	14.041	590
14.066	597	14.092	601
14.117	609	14.142	607
14.168	615	14.193	606
14.218	612	14.243	599
14.269	602	14.295	585
14.319	586	14.345	565
14.370	564	14.396	541
14.421	538	14.446	513
14.472	507	14.497	483
14.523	476	14.548	452
14.573	446	14.599	423
14.624	415	14.649	396
14.675	389	14.700	374
14.726	366	14.750	356
14.776	350	14.802	344
14.827	339	14.852	338
14.877	335	14.903	339
14.929	338	14.953	347
14.979	346	15.004	361
15.030	361	15.054	382
15.080	383	15.106	405
15.131	408	15.156	434
15.181	437	15.207	464
15.233	467	15.257	494
15.283	497	15.308	523
15.334	529	15.359	549
15.384	556	15.410	571
15.435	580	15.460	588
15.486	597	15.511	599
15.537	609	15.561	604
15.587	614	15.613	602
15.638	611	15.663	593
15.688	600	15.714	581
15.740	584	15.764	562
15.790	561	15.815	537
15.841	534	15.866	510
15.891	504	15.917	481
15.942	472	15.967	451
15.992	442	16.018	422
16.044	413	16.068	394
16.094	387	16.119	374
16.145	366	16.170	357
16.195	350	16.221	346
16.246	340	16.271	341
16.297	337	16.322	343
16.348	339	16.372	350
16.398	349	16.424	366
16.449	364	16.474	386
16.499	387	16.525	409
16.551	411	16.575	436
16.601	440	16.626	465
16.652	470	16.677	495
16.702	501	16.728	524
16.753	531	16.778	548
16.803	558	16.829	570
16.855	582	16.879	586
16.905	598	16.930	597
16.956	608	16.981	602
17.006	611	17.032	600
17.057	609	17.082	592
17.108	598	17.133	579
17.159	581	17.183	559
17.209	558	17.235	536
17.260	531	17.285	507
17.310	501	17.336	479
17.362	469	17.386	450
17.412	440	17.437	422
17.463	411	17.488	396
17.513	385	17.539	376
17.564	365	17.590	359
17.614	350	17.640	349
17.666	341	17.691	345
17.716	337	17.741	346
17.767	341	17.793	355
17.817	351	17.843	369
17.868	368	17.894	388
17.919	389	17.944	412
17.970	414	17.995	439
18.020	443	18.046	468
18.071	474	18.097	496
18.121	504	18.147	524
18.173	534	18.198	548
18.223	560	18.248	569
18.274	583	18.300	585
18.324	598	18.350	594
18.375	607	18.401	600
18.426	610	18.451	597
18.477	606	18.502	589
18.527	595	18.552	575
18.578	577	18.604	556
18.628	554	18.654	532
18.679	527	18.705	506
18.730	497	18.755	478
18.781	466	18.806	449
18.831	436	18.857	422
18.882	408	18.908	397
18.932	384	18.958	377
18.984	365	19.009	361
19.034	350	19.059	351
19.085	341	19.111	347
19.135	339	19.161	349
19.186	343	19.212	358
19.237	354	19.262	372
19.288	370	19.313	392
19.338	392	19.363	416
19.389	418	19.415	441
19.439	447	19.465	469
19.490	477	19.516	497
19.541	507	19.566	523
