#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	536	0.051	484
0.075	565	0.101	462
0.127	591	0.152	444
0.177	610	0.202	433
0.228	622	0.254	427
0.278	629	0.304	428
0.329	628	0.355	436
0.380	619	0.405	449
0.431	602	0.456	466
0.481	581	0.507	490
0.532	554	0.558	515
0.582	525	0.608	542
0.634	493	0.659	569
0.684	460	0.709	594
0.735	430	0.761	617
0.785	403	0.811	636
0.836	382	0.862	648
0.886	366	0.912	657
0.938	356	0.963	660
0.989	354	1.013	655
1.039	359	1.065	645
1.090	371	1.115	629
1.140	390	1.166	609
1.192	414	1.216	585
1.242	444	1.267	559
1.293	471	1.318	531
1.343	504	1.369	505
1.394	535	1.419	479
1.445	564	1.470	460
1.496	588	1.520	443
1.546	606	1.572	432
1.597	619	1.622	427
1.647	624	1.673	429
1.699	624	1.723	437
1.749	614	1.774	451
1.800	599	1.824	470
1.850	577	1.876	492
1.901	551	1.926	518
1.951	522	1.977	545
2.003	491	2.027	572
2.053	460	2.078	598
2.104	431	2.129	620
2.154	404	2.180	639
2.205	383	2.230	651
2.256	368	2.281	659
2.307	360	2.331	660
2.357	357	2.383	655
2.408	363	2.433	643
2.458	375	2.484	627
2.510	393	2.534	607
2.560	417	2.585	582
2.611	445	2.635	556
2.661	474	2.687	528
2.712	505	2.737	502
2.762	535	2.788	478
2.814	562	2.838	457
2.864	586	2.889	442
2.915	604	2.940	431
2.965	616	2.991	426
3.016	620	3.041	429
3.067	619	3.092	438
3.118	610	3.142	453
3.168	595	3.194	472
3.219	573	3.244	495
3.269	548	3.295	521
3.321	520	3.345	549
3.371	490	3.396	576
3.422	459	3.446	601
3.472	430	3.498	622
3.523	405	3.549	640
3.573	386	3.599	652
3.625	371	3.650	659
3.675	363	3.700	660
3.726	361	3.752	654
3.776	366	3.802	642
3.827	378	3.853	625
3.878	396	3.903	604
3.929	420	3.954	579
3.979	446	4.005	552
4.030	476	4.056	525
4.080	505	4.106	499
4.132	534	4.157	476
4.182	560	4.207	456
4.233	584	4.259	440
4.283	600	4.309	429
4.334	611	4.360	426
4.384	616	4.410	429
4.436	614	4.461	438
4.486	606	4.511	453
4.537	589	4.563	473
4.587	570	4.613	498
4.638	545	4.664	524
4.689	518	4.714	551
4.740	488	4.765	578
4.790	459	4.816	604
4.841	431	4.867	625
4.891	407	4.917	643
4.943	388	4.968	654
4.993	374	5.018	661
5.044	367	5.070	660
5.094	366	5.120	654
5.145	371	5.171	642
5.195	382	5.221	624
5.247	401	5.272	602
5.297	422	5.322	577
5.348	448	5.374	550
5.398	478	5.424	523
5.449	506	5.475	497
5.500	534	5.525	473
5.551	560	5.576	452
5.601	581	5.627	438
5.652	597	5.678	429
5.702	608	5.728	426
5.754	612	5.779	429
5.804	610	5.829	439
5.855	600	5.881	455
5.905	586	5.931	474
5.956	566	5.982	499
6.006	541	6.032	526
6.058	515	6.083	553
6.108	486	6.133	580
6.159	459	6.185	606
6.209	432	6.235	626
6.260	409	6.286	644
6.311	391	6.336	655
6.362	377	6.387	662
6.412	370	6.438	661
6.463	370	6.489	654
6.513	376	6.539	641
6.565	388	6.590	623
6.615	405	6.640	601
6.666	427	6.692	576
6.716	453	6.742	549
6.767	481	6.793	521
6.818	508	6.843	495
6.869	535	6.894	471
6.919	559	6.944	452
6.970	580	6.996	437
7.020	594	7.046	429
7.071	605	7.097	425
7.122	609	7.147	430
7.173	606	7.198	440
7.223	595	7.249	455
7.274	580	7.300	476
7.324	561	7.350	501
7.376	537	7.401	527
7.426	511	7.451	555
7.477	484	7.503	582
7.527	457	7.553	607
7.578	431	7.604	628
7.629	409	7.654	646
7.680	392	7.705	656
7.730	380	7.755	662
7.781	374	7.807	662
7.831	374	7.857	654
7.882	379	7.908	641
7.933	392	7.958	623
7.984	409	8.009	600
8.035	432	8.060	575
8.085	457	8.111	548
8.136	483	8.161	520
8.187	509	8.212	493
8.238	536	8.262	470
8.288	559	8.314	450
8.339	578	8.364	436
8.389	593	8.415	427
8.441	601	8.465	424
8.491	604	8.516	429
8.542	601	8.566	441
8.592	592	8.618	456
8.643	577	8.668	477
8.693	556	8.719	502
8.745	533	8.769	528
8.795	507	8.820	556
8.846	481	8.871	583
8.896	455	8.922	607
8.947	431	8.972	630
8.998	410	9.023	646
9.049	394	9.073	656
9.099	383	9.125	662
9.150	377	9.175	661
9.200	378	9.226	654
9.252	385	9.276	641
9.302	397	9.327	622
9.353	415	9.378	600
9.403	437	9.429	574
9.454	460	9.479	546
9.504	486	9.530	519
9.556	512	9.580	492
9.606	536	9.631	469
9.657	559	9.682	449
9.707	577	9.733	435
9.758	590	9.783	427
9.809	599	9.834	425
9.860	601	9.884	430
9.910	596	9.936	440
9.961	587	9.986	457
10.011	572	10.037	478
10.063	550	10.087	502
10.113	528	10.138	529
10.164	503	10.189	557
10.214	477	10.240	584
10.265	452	10.290	608
10.315	430	10.341	629
10.367	410	10.391	646
10.417	395	10.442	657
10.468	384	10.493	661
10.518	381	10.544	661
10.569	382	10.594	653
10.620	389	10.645	640
10.671	402	10.695	622
10.721	419	10.747	599
10.772	441	10.797	573
10.822	465	10.848	546
10.874	490	10.898	519
10.924	515	10.949	494
10.975	539	11.000	469
11.025	560	11.051	449
11.076	577	11.102	435
11.126	589	11.152	428
11.178	596	11.203	425
11.228	596	11.253	430
11.279	592	11.305	442
11.329	582	11.355	457
