#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	604	0.051	693
0.076	613	0.102	698
0.127	614	0.153	696
0.177	608	0.203	688
0.229	596	0.254	675
0.279	579	0.304	657
0.330	557	0.356	633
0.380	531	0.406	608
0.431	503	0.457	580
0.481	475	0.507	552
0.533	446	0.558	525
0.583	422	0.608	500
0.634	398	0.660	479
0.684	380	0.710	463
0.735	367	0.761	453
0.786	361	0.811	448
0.837	361	0.862	450
0.887	366	0.913	459
0.938	378	0.964	471
0.988	394	1.014	493
1.040	416	1.065	514
1.090	441	1.115	541
1.141	468	1.167	568
1.191	496	1.217	596
1.242	524	1.268	623
1.292	550	1.318	647
1.344	573	1.369	667
1.394	589	1.419	681
1.445	604	1.471	692
1.495	609	1.521	696
1.546	611	1.572	694
1.597	604	1.622	685
1.648	592	1.673	672
1.699	575	1.724	653
1.749	553	1.775	629
1.800	528	1.825	605
1.851	498	1.876	578
1.902	471	1.926	549
1.952	445	1.978	524
2.003	420	2.028	499
2.053	399	2.079	478
2.105	382	2.129	464
2.155	370	2.180	454
2.206	363	2.230	450
2.256	363	2.282	452
2.307	369	2.332	461
2.357	381	2.383	475
2.409	399	2.433	494
2.459	420	2.484	517
2.510	445	2.535	543
2.560	472	2.586	570
2.611	499	2.636	598
2.662	526	2.687	624
2.713	550	2.737	648
2.763	573	2.789	666
2.814	589	2.839	681
2.864	601	2.890	691
2.916	607	2.940	694
2.966	607	2.991	692
3.017	600	3.041	683
3.067	588	3.093	669
3.118	571	3.143	650
3.168	549	3.194	628
3.220	524	3.244	602
3.270	498	3.295	575
3.321	470	3.346	547
3.371	445	3.397	521
3.422	419	3.447	498
3.473	398	3.498	478
3.524	383	3.548	463
3.574	372	3.600	454
3.625	366	3.650	450
3.675	366	3.701	453
3.727	373	3.751	462
3.777	385	3.802	477
3.828	402	3.852	498
3.878	423	3.904	520
3.929	447	3.954	545
3.979	474	4.005	572
4.031	501	4.055	600
4.081	527	4.106	625
4.132	552	4.157	648
4.182	572	4.208	667
4.233	588	4.258	681
4.284	599	4.309	690
4.335	604	4.359	692
4.385	604	4.411	690
4.436	598	4.461	680
4.486	585	4.512	667
4.538	568	4.562	647
4.588	546	4.613	624
4.639	522	4.663	599
4.689	495	4.715	572
4.740	468	4.766	545
4.790	443	4.816	520
4.842	420	4.867	497
4.892	400	4.917	478
4.943	384	4.969	464
4.993	374	5.019	455
5.044	369	5.070	452
5.095	369	5.120	455
5.146	376	5.171	465
5.196	388	5.222	479
5.247	405	5.273	499
5.297	426	5.323	522
5.349	451	5.374	548
5.399	477	5.424	575
5.450	502	5.476	602
5.500	528	5.526	626
5.551	551	5.577	648
5.601	572	5.627	667
5.653	588	5.678	681
5.703	598	5.728	688
5.754	602	5.780	691
5.804	601	5.830	687
