#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	491	0.050	574
0.075	485	0.101	606
0.126	479	0.151	635
0.177	474	0.202	658
0.227	472	0.253	672
0.278	471	0.304	680
0.328	473	0.354	681
0.380	477	0.405	672
0.430	483	0.455	657
0.481	490	0.507	636
0.531	498	0.557	606
0.582	507	0.608	574
0.633	514	0.658	539
0.684	523	0.709	503
0.734	531	0.760	468
0.785	537	0.811	436
0.835	541	0.861	408
0.886	544	0.912	388
0.938	544	0.962	376
0.988	541	1.013	370
1.039	537	1.064	373
1.089	531	1.115	384
1.140	523	1.165	402
1.191	513	1.216	427
1.242	504	1.266	458
1.292	496	1.318	491
1.343	486	1.368	527
1.393	479	1.419	562
1.445	472	1.469	594
1.495	468	1.520	623
1.546	466	1.571	647
1.596	466	1.622	665
1.647	469	1.672	674
1.697	474	1.723	677
1.749	480	1.773	672
1.799	489	1.824	658
1.850	498	1.875	639
1.900	509	1.926	613
1.951	519	1.976	583
2.002	528	2.027	550
2.053	536	2.077	516
2.103	545	2.129	481
2.154	550	2.179	450
2.204	552	2.230	421
2.256	553	2.280	399
2.306	550	2.331	384
2.357	545	2.382	375
2.407	537	2.433	375
2.458	528	2.483	383
2.508	518	2.534	399
2.560	506	2.584	422
2.610	495	2.635	450
2.661	484	2.686	482
2.711	474	2.737	515
2.762	465	2.787	550
2.813	459	2.838	581
2.864	456	2.888	611
2.914	455	2.940	636
2.965	457	2.990	655
3.015	463	3.041	666
3.067	471	3.091	671
3.117	480	3.142	667
3.168	491	3.193	658
3.218	504	3.244	642
3.269	518	3.295	619
3.320	530	3.345	591
3.371	541	3.396	560
3.421	551	3.446	527
3.472	559	3.498	495
3.522	563	3.548	462
3.573	564	3.599	434
3.624	563	3.649	411
3.675	558	3.700	396
3.725	551	3.751	386
3.776	540	3.802	380
3.826	528	3.852	388
3.878	515	3.903	400
3.928	501	3.953	419
3.979	486	4.005	444
4.029	473	4.055	473
4.080	461	4.106	505
4.131	454	4.156	537
4.182	445	4.207	569
4.232	443	4.257	598
4.283	444	4.309	623
4.333	448	4.359	644
4.384	455	4.410	656
4.435	465	4.460	663
4.486	477	4.511	663
4.536	492	4.562	655
4.587	507	4.613	641
4.637	523	4.663	621
4.689	538	4.714	597
4.739	551	4.764	568
4.790	563	4.816	537
4.840	571	4.866	505
4.891	577	4.917	475
4.942	577	4.967	448
4.993	574	5.018	424
5.043	568	5.068	406
5.094	558	5.120	395
5.144	546	5.170	390
5.195	530	5.221	393
5.246	514	5.271	403
5.297	497	5.322	419
5.347	481	5.373	442
5.398	465	5.424	468
5.448	451	5.474	497
5.500	441	5.525	527
5.550	434	5.575	557
5.601	431	5.627	585
5.651	431	5.677	610
5.702	436	5.728	630
5.753	445	5.778	644
5.804	457	5.829	653
5.854	471	5.880	654
5.905	488	5.931	649
5.955	508	5.981	638
6.006	526	6.032	622
6.057	544	6.082	598
6.108	560	6.133	574
6.159	572	6.184	546
6.209	582	6.235	516
6.260	589	6.285	488
6.311	590	6.336	461
6.362	586	6.386	438
6.412	578	6.438	420
6.463	568	6.488	408
6.513	553	6.539	401
6.565	536	6.589	402
6.615	516	6.640	410
6.666	497	6.691	422
6.716	477	6.742	441
6.767	459	6.792	464
6.817	444	6.843	490
6.869	431	6.893	518
6.919	422	6.944	546
6.970	418	6.995	573
7.020	419	7.046	596
7.071	425	7.096	617
7.122	434	7.147	631
7.173	448	7.197	641
7.223	465	7.249	644
7.274	484	7.299	641
7.324	505	7.350	633
7.376	526	7.400	618
7.426	546	7.451	600
7.477	565	7.502	578
7.527	580	7.553	552
7.578	591	7.603	525
7.628	599	7.654	499
7.680	600	7.704	473
7.730	597	7.755	452
7.781	590	7.806	434
7.831	578	7.857	421
7.882	562	7.907	414
7.933	543	7.958	413
7.984	522	8.008	417
8.034	499	8.060	428
8.085	477	8.110	445
8.135	457	8.161	463
8.187	439	8.211	486
8.237	424	8.262	511
8.288	413	8.313	537
8.338	408	8.364	561
8.389	408	8.414	583
8.440	413	8.465	602
8.491	423	8.515	618
8.541	438	8.566	627
8.592	456	8.617	631
8.642	478	8.668	632
8.693	500	8.718	625
8.744	524	8.769	614
8.795	546	8.819	598
8.845	567	8.871	578
8.896	585	8.921	556
8.946	598	8.972	532
8.998	606	9.022	508
9.048	611	9.073	486
9.099	610	9.124	464
9.149	601	9.175	448
9.200	590	9.226	435
9.251	572	9.276	427
9.302	553	9.327	424
9.352	528	9.377	428
9.403	504	9.429	435
9.453	479	9.479	447
9.504	456	9.530	465
9.555	436	9.580	485
9.606	419	9.631	507
9.656	406	9.682	529
9.707	399	9.733	551
9.757	398	9.783	572
9.809	403	9.834	590
9.859	412	9.884	603
9.910	426	9.936	614
9.960	447	9.986	619
10.011	468	10.037	620
10.062	493	10.087	615
10.113	519	10.138	606
10.163	544	10.188	594
10.214	568	10.240	576
10.264	588	10.290	557
10.315	603	10.341	537
10.366	614	10.391	515
10.417	620	10.442	495
10.467	619	10.493	478
10.518	612	10.544	462
10.568	600	10.594	449
10.620	583	10.645	441
10.670	561	10.695	438
10.721	537	10.747	439
10.771	511	10.797	445
10.822	484	10.848	455
10.873	459	10.898	469
10.924	436	10.949	485
10.974	416	11.000	504
11.025	403	11.051	523
11.075	393	11.101	543
11.126	390	11.152	562
11.177	394	11.202	577
11.228	401	11.253	590
11.278	415	11.304	600
11.329	434	11.355	606
11.379	458	11.405	607
11.431	485	11.456	604
11.481	512	11.506	597
11.532	539	11.558	586
11.582	564	11.608	573
11.633	587	11.659	557
11.684	606	11.709	540
11.735	618	11.760	521
11.785	626	11.811	503
11.836	627	11.862	488
11.886	622	11.912	474
11.937	611	11.963	463
11.988	594	12.013	455
12.039	572	12.064	452
12.089	547	12.115	452
12.140	518	12.166	457
12.190	491	12.216	465
12.242	463	12.267	476
12.292	439	12.317	490
12.343	417	12.369	504
12.393	400	12.419	521
12.444	388	12.470	539
12.495	383	12.520	553
12.546	384	12.571	566
12.596	392	12.622	579
12.647	406	12.673	587
12.697	425	12.723	591
12.748	449	12.774	593
12.799	476	12.824	591
12.850	504	12.875	585
12.900	533	12.926	578
12.951	560	12.977	566
13.001	584	13.027	553
13.053	605	13.078	539
13.103	620	13.128	526
13.154	630	13.180	510
13.204	633	13.230	497
13.255	630	13.281	485
13.306	619	13.331	476
13.357	604	13.382	469
13.407	582	13.433	466
13.458	557	13.484	466
13.508	528	13.534	469
13.560	497	13.585	476
13.610	471	13.635	485
13.661	443	13.686	496
13.711	419	13.737	508
13.762	400	13.788	520
13.812	387	13.838	534
13.864	380	13.889	547
13.914	379	13.939	558
13.965	385	13.991	567
14.015	397	14.041	575
14.066	416	14.092	578
14.117	439	14.142	580
14.168	466	14.193	578
14.218	496	14.244	574
14.269	525	14.295	567
14.319	554	14.345	558
14.371	581	14.396	548
14.421	603	14.446	537
14.472	620	14.497	525
14.522	632	14.548	512
14.573	637	14.599	503
14.623	635	14.649	493
14.675	627	14.700	487
14.725	612	14.750	482
14.776	592	14.802	480
14.826	566	14.852	480
14.877	538	14.903	483
14.928	508	14.953	488
14.979	478	15.004	495
15.029	450	15.055	504
15.080	425	15.106	514
15.130	403	15.156	524
15.182	387	15.207	534
15.232	378	15.257	542
15.283	375	15.308	551
15.333	379	15.359	558
15.384	390	15.410	563
15.434	406	15.460	566
15.486	429	15.511	566
15.536	456	15.561	564
15.587	485	15.613	561
15.637	514	15.663	555
15.688	545	15.714	547
15.739	573	15.764	540
15.790	599	15.815	531
15.840	617	15.866	523
15.891	631	15.917	515
15.941	638	15.967	507
15.993	639	16.018	500
16.043	632	16.068	496
16.094	619	16.120	493
16.144	600	16.170	493
16.195	576	16.221	493
16.245	548	16.271	497
16.297	518	16.322	501
16.347	487	16.372	507
16.398	458	16.424	514
16.448	430	16.474	521
16.499	408	16.525	528
16.550	390	16.575	536
16.601	379	16.626	542
16.651	374	16.677	547
16.702	375	16.728	551
16.752	384	16.778	553
16.804	400	16.829	555
16.854	421	16.879	553
16.905	447	16.931	551
16.955	475	16.981	547
17.006	505	17.032	542
17.056	537	17.082	537
17.108	565	17.133	530
17.158	591	17.183	524
17.209	612	17.235	517
17.259	628	17.285	513
17.310	637	17.336	509
17.361	639	17.386	506
17.412	635	17.437	504
17.462	624	17.488	503
17.513	607	17.539	504
17.563	584	17.589	508
17.615	557	17.640	510
17.665	528	17.690	514
17.716	497	17.742	520
17.766	469	17.792	525
17.817	439	17.843	530
17.867	415	17.893	535
17.919	395	17.944	539
17.969	382	17.994	542
18.020	374	18.046	545
18.070	374	18.096	546
18.121	381	18.147	545
18.172	394	18.197	543
18.223	413	18.248	541
18.273	438	18.299	539
18.324	466	18.350	533
18.374	495	18.400	529
18.426	526	18.451	524
18.476	555	18.501	520
18.527	582	18.553	515
18.577	606	18.603	512
18.628	622	18.654	510
18.678	633	18.704	508
18.730	638	18.755	508
18.781	635	18.805	509
18.831	627	18.857	511
18.882	612	18.907	514
18.932	591	18.958	520
18.984	566	19.008	523
19.034	537	19.059	527
19.085	508	19.110	532
19.135	477	19.161	538
19.186	449	19.211	540
19.237	423	19.262	543
19.288	403	19.312	545
19.338	387	19.364	545
19.389	377	19.414	544
19.439	376	19.465	543
19.491	381	19.515	540
19.541	391	19.566	536
19.592	408	19.616	530
19.642	431	19.668	527
19.693	457	19.718	521
19.743	486	19.769	515
19.795	515	19.819	512
19.845	545	19.870	508
19.896	572	19.921	506
19.946	596	19.972	504
19.997	615	20.022	505
20.048	628	20.073	505
20.099	634	20.123	509
20.149	635	20.175	512
20.200	628	20.225	517
20.250	615	20.276	522
20.302	596	20.326	529
20.352	573	20.377	534
20.403	546	20.427	539
20.453	517	20.479	545
20.504	488	20.529	550
20.554	459	20.580	551
20.606	433	20.630	551
20.656	411	20.681	551
20.707	396	20.732	549
20.757	385	20.783	546
20.808	379	20.833	542
20.859	382	20.884	536
20.910	391	20.934	529
20.960	405	20.986	524
21.011	425	21.036	517
21.061	449	21.087	510
21.113	477	21.137	504
21.163	506	21.188	502
21.214	535	21.238	497
21.264	562	21.290	495
21.315	586	21.340	495
21.365	606	21.391	498
21.417	620	21.441	501
21.467	630	21.492	507
21.518	632	21.543	513
21.568	627	21.594	520
21.619	616	21.644	528
21.670	599	21.695	537
21.721	579	21.746	543
21.771	554	21.797	551
21.822	526	21.848	555
21.872	497	21.898	559
21.924	470	21.949	562
21.974	444	21.999	561
22.025	422	22.051	560
22.075	404	22.101	556
22.126	392	22.152	550
22.176	384	22.202	543
22.228	387	22.253	535
22.278	392	22.303	526
22.329	405	22.355	518
22.379	422	22.405	509
22.430	444	22.456	501
22.481	469	22.506	494
22.532	496	22.557	488
22.582	524	22.608	485
22.633	551	22.659	485
22.683	575	22.709	486
22.735	595	22.760	489
22.785	610	22.810	495
22.836	621	22.862	502
22.886	625	22.912	512
22.937	624	22.963	522
22.987	615	23.013	532
23.039	601	23.064	542
23.089	582	23.114	551
23.140	560	23.166	559
23.190	534	23.216	566
23.241	507	23.267	570
23.292	480	23.317	572
23.343	454	23.368	572
23.393	432	23.419	567
23.444	414	23.470	563
23.494	401	23.520	556
23.546	392	23.571	547
23.596	391	23.621	537
23.647	395	23.673	525
23.697	405	23.723	514
23.748	420	23.774	503
23.798	441	23.824	493
23.850	464	23.875	485
23.900	488	23.925	479
23.951	515	23.977	475
24.001	540	24.027	475
24.052	564	24.078	475
24.103	584	24.128	481
24.154	600	24.179	487
24.204	612	24.230	497
24.255	617	24.281	508
24.305	617	24.331	520
24.357	611	24.382	534
24.407	599	24.432	544
24.458	583	24.484	557
24.508	563	24.534	567
24.559	540	24.585	575
24.609	516	24.635	580
24.661	490	24.686	582
24.711	466	24.736	582
24.762	444	24.788	578
24.812	425	24.838	573
24.863	411	24.889	564
24.914	401	24.939	552
24.965	399	24.990	539
25.016	401	25.041	526
25.066	409	25.092	512
25.117	421	25.142	499
25.168	440	25.193	487
25.219	459	25.243	477
25.269	483	25.295	470
25.320	507	25.345	465
25.370	530	25.396	464
25.422	553	25.446	466
25.472	573	25.497	470
25.523	587	25.547	479
25.573	601	25.599	492
25.624	608	25.649	502
25.674	610	25.700	516
25.726	605	25.750	532
25.776	596	25.801	546
25.827	583	25.852	560
25.877	564	25.903	572
25.928	544	25.953	582
25.979	522	26.004	588
26.030	499	26.054	591
26.080	476	26.106	591
26.131	455	26.156	588
26.181	436	26.207	581
26.233	422	26.257	570
26.283	413	26.308	558
26.334	408	26.358	544
26.384	409	26.410	529
26.435	415	26.460	513
26.485	425	26.511	497
26.537	440	26.561	484
26.587	456	26.612	472
26.638	477	26.663	462
26.688	501	26.714	457
