#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	498	13.231	427
13.256	498	13.281	423
13.307	498	13.333	424
13.357	498	13.383	431
13.408	498	13.434	443
13.459	498	13.484	459
13.510	499	13.535	479
13.560	499	13.585	501
13.611	500	13.637	525
13.661	499	13.687	549
13.712	500	13.738	572
13.763	500	13.788	593
13.814	501	13.839	611
13.865	500	13.890	625
13.915	500	13.941	633
13.966	500	13.991	637
14.017	500	14.042	635
14.068	499	14.092	629
14.118	499	14.144	617
14.169	499	14.194	601
14.219	499	14.245	582
14.271	498	14.295	560
14.321	498	14.346	537
14.372	498	14.396	513
14.422	498	14.448	490
14.473	498	14.498	469
14.523	498	14.549	451
14.575	498	14.599	438
14.625	498	14.650	428
14.676	497	14.701	425
14.726	499	14.752	426
14.777	498	14.802	434
14.828	499	14.853	445
14.879	499	14.903	460
14.929	499	14.955	482
14.980	500	15.005	504
15.030	498	15.056	527
15.082	499	15.106	550
15.132	500	15.157	573
15.183	500	15.208	593
15.233	500	15.259	610
15.284	500	15.309	624
15.334	499	15.360	632
15.386	499	15.410	635
15.436	499	15.461	633
15.487	499	15.512	626
15.537	499	15.563	615
15.588	499	15.613	599
15.639	499	15.664	579
15.690	498	15.714	557
15.740	499	15.766	534
15.791	498	15.816	511
15.841	499	15.867	487
15.893	499	15.917	469
15.943	498	15.968	451
15.994	499	16.019	438
16.044	498	16.070	430
16.095	498	16.120	426
16.145	498	16.171	429
16.197	499	16.221	436
16.247	499	16.272	448
16.298	500	16.323	464
16.348	499	16.374	484
16.399	500	16.424	507
16.450	499	16.475	530
16.501	500	16.525	552
16.551	499	16.577	574
16.602	499	16.627	594
16.652	500	16.678	610
16.704	500	16.728	623
16.754	499	16.779	630
16.805	499	16.830	634
16.855	499	16.881	631
16.906	498	16.932	624
16.956	499	16.982	612
17.008	498	17.033	596
17.058	499	17.083	577
17.109	499	17.135	556
17.159	499	17.185	533
17.210	498	17.236	510
17.261	499	17.286	488
17.312	499	17.337	468
17.362	499	17.388	451
17.413	499	17.439	439
17.463	498	17.489	431
17.515	498	17.540	428
17.565	499	17.590	431
17.616	498	17.642	439
17.666	499	17.692	451
17.717	499	17.743	467
17.768	499	17.793	487
17.819	499	17.844	508
17.869	499	17.894	530
17.920	499	17.946	554
17.970	499	17.996	575
18.021	499	18.047	594
18.072	500	18.097	610
18.123	499	18.148	622
18.173	499	18.199	629
18.224	500	18.250	632
18.274	499	18.300	629
18.326	500	18.351	621
18.376	499	18.401	610
18.427	499	18.453	594
18.477	499	18.503	574
18.528	499	18.554	551
18.579	498	18.604	530
18.630	499	18.655	508
18.680	500	18.705	486
18.731	499	18.757	466
18.781	499	18.807	452
18.832	498	18.858	440
18.883	498	18.908	432
18.934	499	18.959	430
18.984	499	19.010	433
19.035	499	19.061	440
19.085	499	19.111	453
19.137	499	19.162	469
19.187	499	19.212	488
19.238	499	19.264	511
19.288	499	19.314	533
19.339	499	19.365	555
19.390	499	19.415	576
19.441	499	19.466	594
19.491	498	19.516	610
19.542	499	19.568	621
19.592	499	19.618	628
19.643	498	19.669	630
19.694	499	19.719	627
19.745	499	19.770	619
19.795	499	19.821	607
19.846	499	19.872	590
19.896	499	19.922	571
19.948	499	19.973	551
19.998	499	20.023	528
20.049	499	20.075	505
20.099	498	20.125	485
20.150	500	20.176	467
20.201	499	20.226	451
20.252	499	20.277	440
20.302	500	20.328	434
20.353	499	20.379	431
20.403	498	20.429	435
20.454	498	20.480	443
20.505	499	20.530	455
20.556	499	20.581	472
20.607	498	20.632	491
20.657	499	20.683	512
20.708	499	20.733	535
20.759	499	20.784	556
20.810	500	20.834	577
20.860	499	20.886	595
20.911	497	20.936	609
20.961	499	20.987	620
21.013	499	21.037	626
21.063	499	21.088	629
21.114	499	21.139	626
21.164	500	21.190	617
21.215	499	21.240	604
21.265	500	21.291	588
21.317	500	21.341	569
21.367	500	21.392	548
21.418	499	21.443	526
21.468	500	21.494	505
21.519	499	21.544	485
21.570	499	21.595	467
21.621	500	21.645	451
21.671	498	21.697	441
21.722	499	21.747	435
21.772	499	21.798	434
21.824	499	21.848	437
21.874	499	21.899	446
21.925	499	21.950	457
21.975	498	22.001	475
22.026	499	22.051	494
22.076	498	22.102	515
22.128	498	22.152	537
22.178	499	22.203	557
22.229	498	22.254	578
22.279	499	22.305	594
22.330	498	22.355	610
22.381	500	22.406	620
22.432	499	22.456	625
22.482	500	22.508	626
22.533	500	22.558	622
22.583	500	22.609	614
22.635	500	22.659	601
