#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	712	0.050	338
0.076	706	0.101	334
0.126	694	0.152	342
0.177	668	0.202	361
0.228	629	0.253	391
0.279	585	0.303	430
0.329	535	0.355	476
0.380	481	0.405	527
0.430	428	0.456	578
0.482	377	0.506	627
0.532	332	0.557	674
0.583	295	0.608	713
0.633	267	0.659	746
0.684	252	0.710	767
0.734	249	0.760	776
0.786	260	0.811	773
0.836	278	0.861	761
0.887	311	0.913	738
0.937	353	0.963	705
0.988	399	1.014	665
1.039	452	1.064	619
1.090	507	1.115	570
1.140	560	1.166	519
1.191	608	1.217	471
1.241	651	1.267	427
1.293	684	1.318	390
1.343	705	1.368	364
1.394	716	1.420	347
1.444	711	1.470	344
1.495	697	1.521	351
1.545	670	1.571	369
1.597	630	1.622	398
1.647	587	1.672	438
1.698	535	1.724	481
1.748	481	1.774	529
1.799	426	1.825	579
1.850	375	1.875	626
1.901	329	1.926	670
1.951	292	1.977	708
2.002	264	2.028	738
2.052	248	2.078	759
2.104	247	2.129	766
2.154	256	2.179	764
2.205	276	2.231	752
2.255	309	2.281	730
2.306	350	2.332	698
2.356	398	2.382	659
2.408	452	2.433	615
2.458	507	2.483	566
2.509	560	2.535	518
2.559	610	2.585	471
2.610	653	2.636	431
2.661	688	2.686	395
2.712	710	2.737	371
2.762	718	2.788	356
2.813	716	2.839	353
2.863	699	2.889	361
2.915	673	2.940	379
2.965	635	2.990	408
3.016	588	3.042	444
3.066	536	3.092	488
3.117	482	3.143	535
3.168	427	3.193	581
3.219	374	3.244	626
3.269	328	3.294	669
3.320	290	3.346	704
3.370	262	3.396	733
3.421	244	3.447	751
3.472	244	3.497	758
3.523	253	3.548	754
3.574	274	3.599	742
3.624	306	3.650	720
3.675	347	3.700	689
3.726	396	3.751	650
3.777	450	3.801	607
3.827	506	3.853	563
3.878	560	3.903	517
3.928	611	3.954	472
3.980	654	4.004	431
4.030	689	4.055	400
4.081	712	4.105	376
4.131	723	4.157	364
4.182	719	4.207	363
4.232	704	4.258	370
4.284	676	4.308	389
4.334	638	4.359	418
4.385	591	4.410	454
4.435	539	4.461	494
4.486	483	4.511	539
4.537	428	4.562	584
4.588	375	4.612	628
4.638	328	4.664	668
4.689	289	4.714	701
4.739	260	4.765	728
4.791	243	4.815	744
4.841	241	4.866	749
4.892	251	4.916	746
4.942	270	4.968	732
4.993	302	5.018	710
5.043	344	5.069	680
5.095	393	5.119	642
5.145	447	5.170	600
5.196	504	5.221	556
5.246	559	5.272	512
5.297	610	5.322	469
5.348	654	5.373	433
5.399	689	5.423	403
5.449	713	5.475	381
5.500	724	5.525	371
5.550	721	5.576	370
5.602	706	5.626	379
5.652	679	5.677	398
5.703	640	5.728	427
5.753	595	5.779	463
5.804	542	5.829	504
5.854	486	5.880	545
5.906	431	5.930	589
5.956	377	5.981	631
6.007	330	6.032	668
6.057	291	6.083	700
6.108	261	6.133	724
6.159	242	6.184	738
6.210	239	6.234	742
6.260	250	6.286	737
6.311	269	6.336	724
6.361	300	6.387	700
6.413	341	6.437	670
6.463	391	6.488	633
6.514	444	6.539	592
6.564	500	6.590	549
6.615	556	6.641	507
6.665	607	6.691	467
6.717	652	6.742	433
6.767	688	6.792	404
6.818	712	6.844	385
6.868	722	6.894	377
6.919	720	6.945	377
6.970	707	6.995	387
7.021	681	7.046	408
7.071	643	7.097	437
7.122	598	7.148	472
7.172	546	7.198	513
7.224	490	7.249	553
7.274	434	7.299	595
7.325	381	7.351	636
7.375	333	7.401	671
7.426	292	7.452	700
7.476	262	7.502	723
7.528	243	7.553	734
7.578	239	7.603	736
7.629	247	7.655	730
7.679	267	7.705	715
7.730	298	7.756	691
7.781	338	7.806	661
7.832	387	7.857	624
7.882	440	7.908	584
7.933	497	7.959	542
7.983	552	8.009	501
8.035	604	8.060	463
8.085	649	8.110	430
8.136	685	8.162	403
8.186	711	8.212	387
8.237	723	8.263	381
8.288	721	8.313	383
8.339	707	8.364	393
8.389	683	8.414	415
8.440	645	8.466	446
8.490	601	8.516	480
8.541	549	8.567	519
8.592	494	8.617	560
8.643	438	8.668	602
8.693	385	8.719	640
8.744	337	8.770	674
8.794	296	8.820	702
8.846	265	8.871	721
8.896	247	8.921	731
8.947	242	8.973	732
8.997	249	9.023	724
9.048	266	9.074	707
9.099	297	9.124	683
9.150	336	9.175	651
9.200	383	9.225	613
9.251	437	9.277	575
9.301	493	9.327	534
9.352	547	9.378	494
9.403	600	9.428	457
9.454	645	9.479	426
9.505	681	9.530	402
9.555	707	9.581	388
9.606	720	9.631	383
9.657	719	9.682	387
9.708	707	9.732	401
9.758	683	9.784	424
9.809	647	9.834	454
9.859	603	9.885	488
9.911	552	9.935	528
9.961	498	9.986	569
10.012	443	10.036	609
10.062	389	10.088	646
10.113	341	10.138	678
10.163	301	10.189	704
10.215	270	10.239	722
10.265	249	10.290	729
10.316	245	10.341	729
10.366	249	10.392	719
10.417	267	10.442	700
10.468	296	10.493	675
10.519	334	10.543	642
10.569	381	10.595	606
10.620	433	10.645	566
10.670	488	10.696	525
10.722	543	10.746	487
10.772	594	10.797	451
10.823	640	10.848	422
10.873	677	10.899	400
10.924	704	10.949	388
10.974	716	11.000	385
11.026	717	11.050	390
11.076	705	11.101	406
11.127	683	11.152	430
11.177	649	11.203	462
11.228	605	11.253	498
11.279	555	11.304	538
11.330	501	11.354	578
11.380	447	11.406	615
11.431	394	11.456	653
11.481	346	11.507	683
11.533	306	11.557	707
11.583	275	11.608	723
11.634	254	11.659	729
11.684	247	11.710	727
11.735	253	11.760	716
11.785	269	11.811	697
11.837	297	11.861	667
11.887	334	11.912	634
11.938	379	11.963	596
11.988	431	12.014	556
12.039	485	12.064	517
12.090	538	12.115	479
12.141	588	12.165	445
12.191	633	12.217	416
12.242	671	12.267	396
12.292	698	12.318	386
12.344	712	12.368	384
12.394	712	12.419	392
12.445	701	12.470	409
12.495	680	12.521	434
12.546	647	12.572	467
