#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	496	0.050	311
0.076	498	0.100	311
0.126	499	0.152	314
0.177	500	0.202	322
0.227	500	0.253	341
0.279	499	0.303	370
0.329	500	0.354	407
0.380	501	0.405	450
0.430	501	0.456	496
0.481	501	0.506	543
0.532	502	0.557	590
0.583	502	0.608	632
0.633	504	0.658	667
0.684	505	0.710	697
0.734	507	0.760	717
0.785	508	0.811	724
0.836	509	0.861	723
0.887	512	0.912	712
0.937	514	0.963	691
0.988	516	1.014	662
1.038	518	1.064	625
1.090	519	1.115	583
1.140	519	1.165	536
1.191	519	1.217	489
1.241	519	1.267	444
1.292	517	1.318	402
1.343	514	1.368	368
1.394	511	1.419	341
1.444	506	1.469	323
1.495	502	1.521	317
1.545	498	1.571	322
1.596	493	1.622	335
1.647	488	1.672	361
1.698	485	1.723	393
1.748	481	1.774	433
1.799	480	1.825	477
1.849	479	1.875	523
1.901	479	1.926	569
1.951	481	1.976	612
2.002	484	2.028	649
2.052	489	2.078	681
2.103	494	2.129	704
2.154	501	2.179	718
2.205	507	2.230	719
2.255	516	2.281	713
2.306	522	2.332	696
2.356	529	2.382	672
2.407	533	2.433	638
2.458	539	2.483	600
2.509	541	2.534	556
2.559	542	2.585	511
2.610	541	2.636	466
2.660	538	2.686	425
2.712	533	2.737	388
2.762	527	2.787	357
2.813	519	2.839	337
2.863	509	2.889	325
2.914	500	2.940	325
2.965	490	2.990	334
3.016	480	3.041	353
3.066	472	3.092	382
3.117	467	3.143	417
3.167	461	3.193	458
3.218	458	3.244	502
3.269	457	3.294	546
3.320	459	3.345	589
3.370	464	3.396	629
3.421	470	3.447	661
3.471	479	3.497	688
3.523	489	3.548	705
3.573	501	3.598	711
3.624	513	3.650	709
3.674	525	3.700	698
3.725	535	3.751	677
3.776	546	3.801	650
3.827	554	3.852	614
3.877	560	3.903	574
3.928	563	3.954	532
3.978	563	4.004	488
4.029	560	4.055	446
4.080	553	4.105	409
4.131	545	4.156	376
4.181	534	4.207	351
4.232	520	4.258	336
4.282	506	4.308	332
4.334	492	4.359	336
4.384	477	4.409	351
4.435	464	4.461	374
4.485	453	4.511	405
4.536	444	4.562	442
4.587	438	4.612	483
4.638	436	4.663	526
4.688	438	4.714	567
4.739	442	4.765	606
4.789	450	4.815	641
4.841	461	4.866	669
4.891	475	4.916	689
4.942	491	4.967	700
4.992	507	5.018	701
5.043	524	5.069	695
5.093	540	5.119	679
5.145	554	5.170	655
5.195	567	5.220	624
5.246	577	5.272	588
5.296	583	5.322	550
5.347	584	5.373	508
5.398	581	5.423	467
5.449	576	5.474	430
5.499	565	5.525	396
5.550	550	5.576	370
5.600	534	5.626	351
5.652	516	5.677	343
5.702	497	5.727	343
5.753	479	5.778	353
5.803	460	5.829	372
5.854	444	5.880	398
5.904	432	5.930	430
5.956	423	5.981	467
6.006	417	6.031	506
6.057	416	6.083	547
6.107	420	6.133	584
6.158	429	6.184	619
6.209	442	6.234	648
6.260	458	6.285	670
6.310	477	6.336	684
6.361	497	6.387	690
6.411	519	6.437	687
6.463	540	6.488	676
6.513	559	6.538	658
6.564	576	6.589	632
6.614	590	6.640	600
6.665	598	6.691	565
6.715	603	6.741	527
6.767	602	6.792	488
6.817	596	6.842	452
6.868	585	6.894	418
6.918	570	6.944	390
6.969	552	6.995	370
7.020	530	7.045	358
7.071	507	7.096	355
7.121	483	7.147	359
7.172	460	7.198	373
7.222	440	7.248	394
7.274	421	7.299	422
7.324	410	7.349	455
7.375	401	7.401	490
7.425	398	7.451	527
7.476	399	7.502	563
7.526	408	7.552	598
7.578	421	7.603	627
7.628	439	7.653	651
7.679	460	7.705	666
7.729	484	7.755	676
7.780	510	7.806	678
7.831	535	7.856	670
7.882	559	7.907	655
7.932	581	7.958	635
7.983	597	8.009	608
8.033	611	8.059	576
8.085	619	8.110	542
8.135	620	8.160	506
8.186	616	8.212	472
8.236	606	8.262	441
8.287	589	8.313	411
8.337	570	8.363	391
8.389	546	8.414	376
8.439	519	8.464	370
8.490	492	8.516	370
8.540	465	8.566	380
8.591	440	8.617	396
8.642	417	8.667	419
8.693	401	8.718	447
8.743	388	8.769	478
8.794	382	8.820	512
8.844	381	8.870	545
8.896	389	8.921	576
8.946	401	8.971	605
8.997	419	9.023	629
9.047	442	9.073	648
9.098	469	9.124	658
9.148	497	9.174	663
9.200	526	9.225	660
9.250	555	9.275	650
9.301	581	9.327	634
9.351	603	9.377	611
9.402	620	9.428	585
9.454	631	9.478	555
9.504	636	9.529	523
9.555	634	9.580	491
9.605	625	9.631	462
9.656	610	9.681	436
9.707	589	9.732	413
9.758	564	9.782	399
9.808	535	9.834	388
9.859	504	9.884	385
9.909	474	9.935	390
9.961	444	9.985	402
10.011	417	10.036	420
10.062	396	10.086	443
10.112	380	10.138	469
10.163	369	10.188	498
10.213	366	10.239	527
10.265	371	10.289	557
10.315	382	10.340	584
10.366	400	10.391	607
10.416	423	10.442	626
10.467	451	10.492	638
10.518	482	10.543	644
10.569	514	10.593	646
10.619	546	10.645	639
10.670	576	10.695	628
10.720	603	10.746	610
10.772	624	10.796	589
10.822	640	10.847	563
10.873	647	10.897	536
10.923	650	10.949	509
10.974	642	10.999	481
11.024	629	11.050	457
11.076	608	11.100	434
11.126	583	11.151	420
11.177	553	11.202	406
11.227	520	11.253	403
11.278	486	11.303	404
11.329	453	11.354	412
11.380	422	11.404	425
11.430	396	11.456	443
11.481	375	11.506	465
11.531	362	11.557	489
11.583	354	11.607	515
11.633	355	11.658	540
11.684	365	11.708	564
11.734	381	11.760	587
11.785	404	11.810	604
11.835	433	11.861	618
11.887	465	11.911	625
11.937	499	11.962	630
11.988	534	12.013	626
12.038	568	12.064	618
12.089	598	12.114	605
12.140	625	12.165	588
12.191	644	12.215	568
12.241	655	12.267	545
12.292	661	12.317	522
12.342	656	12.368	498
12.394	647	12.418	477
12.444	627	12.469	457
12.495	601	12.519	441
12.545	571	12.571	428
12.596	537	12.622	423
12.646	501	12.672	420
12.698	465	12.723	426
12.748	431	12.773	434
12.799	400	12.825	448
12.849	374	12.875	465
12.900	357	12.926	484
12.951	347	12.976	505
13.002	345	13.027	527
13.052	350	13.078	548
13.103	365	13.129	567
13.153	386	13.179	583
13.205	413	13.230	596
13.255	446	13.280	606
13.306	483	13.332	610
13.356	519	13.382	610
13.407	556	13.433	604
13.457	590	13.483	597
13.509	620	13.534	584
13.559	643	13.584	569
13.610	660	13.636	551
13.660	669	13.686	532
13.711	667	13.737	511
13.762	661	13.787	494
13.813	643	13.838	477
13.863	619	13.889	463
13.914	589	13.940	451
13.964	555	13.990	445
14.016	517	14.041	441
14.066	479	14.091	442
14.117	442	14.143	448
14.167	408	14.193	456
14.218	380	14.244	469
14.268	357	14.294	484
14.320	343	14.345	501
14.370	338	14.395	517
14.421	338	14.447	534
14.471	350	14.497	550
14.522	369	14.548	565
14.573	396	14.598	577
14.624	429	14.649	585
14.674	465	14.700	591
14.725	503	14.751	592
14.775	541	14.801	590
14.827	578	14.852	585
14.877	611	14.902	576
14.928	639	14.954	566
14.978	660	15.004	552
15.029	673	15.055	538
15.079	675	15.105	523
15.131	671	15.156	509
15.181	657	15.206	495
15.232	636	15.258	483
15.282	607	15.308	473
15.333	573	15.359	466
15.384	535	15.409	462
15.435	496	15.460	463
15.485	457	15.511	464
15.536	420	15.562	470
15.586	388	15.612	477
15.638	361	15.663	487
15.688	343	15.713	498
15.739	334	15.765	511
15.789	332	15.815	524
15.840	339	15.866	536
15.890	355	15.916	547
15.942	380	15.967	556
15.992	410	16.017	564
16.043	447	16.069	570
16.093	485	16.119	572
16.144	525	16.170	572
16.195	564	16.220	570
16.246	600	16.271	565
16.297	631	16.322	558
16.347	656	16.373	550
16.398	672	16.423	540
16.449	679	16.474	530
16.500	678	16.524	520
16.550	668	16.576	510
16.601	649	16.626	501
16.651	623	16.677	494
16.703	590	16.727	487
16.753	553	16.778	484
16.804	513	16.828	483
16.854	473	16.880	482
16.905	434	16.930	484
16.955	399	16.981	489
17.007	370	17.031	494
17.057	347	17.082	501
17.108	334	17.133	509
17.158	328	17.184	517
17.209	333	17.234	525
17.260	345	17.285	532
17.311	366	17.335	539
17.361	394	17.387	544
17.412	429	17.437	547
17.462	467	17.488	552
17.514	507	17.538	552
17.564	549	17.589	553
17.615	585	17.639	551
17.665	620	17.691	547
17.716	649	17.741	543
17.766	668	17.792	539
17.818	680	17.842	533
17.868	682	17.893	527
17.919	675	17.944	522
17.969	661	17.995	517
18.020	636	18.045	512
18.071	606	18.096	508
18.122	570	18.146	505
18.172	531	18.198	504
18.223	490	18.248	502
18.273	451	18.299	501
18.325	414	18.349	504
18.375	381	18.400	506
18.426	355	18.450	508
18.476	337	18.502	511
18.527	329	18.552	515
18.577	328	18.603	518
18.629	337	18.653	521
18.679	355	18.704	525
18.730	381	18.755	527
18.780	412	18.806	529
18.831	450	18.856	531
18.882	490	18.907	532
18.933	530	18.957	532
18.983	569	19.009	533
19.034	605	19.059	534
19.084	636	19.110	533
19.136	660	19.160	532
19.186	675	19.211	532
19.237	681	19.261	530
19.287	678	19.313	529
19.338	666	19.364	528
19.388	647	19.414	527
19.440	619	19.465	526
19.490	586	19.515	524
19.541	548	19.567	524
19.591	508	19.617	523
19.642	468	19.668	521
19.693	430	19.718	520
19.744	395	19.769	519
19.794	367	19.820	518
19.845	346	19.871	517
19.895	333	19.921	516
19.947	329	19.972	515
19.997	334	20.022	514
20.048	348	20.074	513
20.098	371	20.124	513
20.149	401	20.175	512
20.199	436	20.225	513
20.251	473	20.276	513
20.301	512	20.326	515
