83,140
98,213
123,323
126,337
148,433
178,562
192,619
220,727
235,783
262,875
295,989
346,1138
374,1216
395,1272
442,1387
458,1425
475,1460
494,1503
512,1539
528,1572
549,1610
555,1623
578,1663
610,1714
641,1760
685,1822
725,1871
779,1927
801,1948
825,1970
864,2001
892,2021
929,2042
968,2064
1022,2085
1046,2094
1075,2102
1107,2109
1145,2115
1187,2117
1208,2115
1230,2114
1257,2112
1317,2099
1367,2082
1438,2051
1494,2015
1534,1985
1589,1937
1596,1930
1626,1900
1649,1876
1688,1828
1696,1817
1704,1806
1711,1797
1728,1770
1734,1765
1758,1729
1785,1683
1802,1659
1829,1610
1866,1540
1888,1502
1910,1451
1933,1400
1956,1345
1974,1303
1996,1251
2014,1201
2032,1149
2042,1123
2066,1049
2083,1004
2098,954
2117,899
2138,826
2151,787
2163,741
2175,700
2188,646
2205,587
2220,521
2240,447
2260,372
2275,296
2285,254
2306,160
2315,118




