913 , 2040
914 , 2040
914 , 2040
915 , 2040
916 , 2040
918 , 2041
920 , 2043
922 , 2045
924 , 2046
926 , 2049
932 , 2053
935 , 2054
938 , 2055
941 , 2057
946 , 2059
951 , 2061
955 , 2063
959 , 2064
964 , 2065
966 , 2066
972 , 2068
974 , 2070
976 , 2071
983 , 2074
986 , 2075
991 , 2077
996 , 2078
1000 , 2080
1002 , 2082
1006 , 2083
1015 , 2085
1016 , 2086
1021 , 2088
1026 , 2090
1033 , 2092
1042 , 2096
1046 , 2097
1051 , 2098
1058 , 2102
1061 , 2102
1068 , 2103
1073 , 2104
1080 , 2107
1086 , 2108
1091 , 2109
1097 , 2111
1105 , 2111
1108 , 2112
1114 , 2113
1123 , 2114
1128 , 2114
1132 , 2115
1139 , 2116
1144 , 2116
1150 , 2118
1152 , 2118
1154 , 2118
1162 , 2119
1168 , 2119
1175 , 2119
1177 , 2119
1181 , 2119
1190 , 2120
1196 , 2120
1205 , 2120
1212 , 2120
1221 , 2120
1225 , 2120
1234 , 2120
1237 , 2119
1241 , 2119
1247 , 2118
1257 , 2115
1264 , 2115
1271 , 2115
1283 , 2113
1300 , 2110
1311 , 2107
1318 , 2106
1324 , 2104
1332 , 2100
1339 , 2099
1345 , 2096
1349 , 2094
1359 , 2092
1364 , 2092
1375 , 2090
1381 , 2087
1386 , 2086
1388 , 2085
1395 , 2082
1401 , 2081
1396 , 2079
1396 , 2079
1399 , 2078
1404 , 2076
1410 , 2074
1417 , 2071
1420 , 2070
1423 , 2066
1428 , 2064
1432 , 2063
1437 , 2061
1439 , 2059
1444 , 2056
1451 , 2054
1455 , 2052
1461 , 2049
1467 , 2045
1471 , 2042
1472 , 2041
