16 , 29
29 , 66
39 , 107
49 , 151
63 , 215
86 , 302
86 , 353
103 , 403
117 , 474
137 , 511
150 , 599
164 , 649
177 , 700
204 , 777
238 , 889
265 , 990
309 , 1104
329 , 1168
352 , 1219
376 , 1286
417 , 1364
443 , 1458
481 , 1525
545 , 1616
582 , 1680
656 , 1785
703 , 1852
750 , 1896
807 , 1953
861 , 2000
912 , 2034
962 , 2058
1030 , 2084
1131 , 2115
1201 , 2128
1232 , 2118
1303 , 2105
1350 , 2095
1383 , 2081
1437 , 2068
1484 , 2027
1542 , 1997
1609 , 1923
1680 , 1845
1730 , 1795
1781 , 1721
1845 , 1626
1906 , 1508
1949 , 1407
1980 , 1333
2003 , 1269
2034 , 1195
2067 , 1107
2114 , 986
2189 , 727
2222 , 602
2253 , 491
2276 , 417
2290 , 346
2310 , 255
2327 , 181
2347 , 83
