#Creator: pendulumEventBuffer
#Creation time: Tue Jan  1 01:30:49 2013
#Time	Period	Transit time
#[s]	[s]	[s]
1.681476	2.109832	0.037964
2.736390	2.109840	0.038068
3.791316	2.109815	0.038180
4.846205	2.109779	0.038278
5.901095	2.109779	0.038374
6.955984	2.109772	0.038480
8.010867	2.109729	0.038582
9.065713	2.109687	0.038690
10.120554	2.109683	0.038792
11.175396	2.109677	0.038892
12.230231	2.109654	0.038998
13.285050	2.109628	0.039108
14.339859	2.109653	0.039210
15.394703	2.109680	0.039310
16.449539	2.109618	0.039418
17.504321	2.109560	0.039522
18.559099	2.109542	0.039626
19.613863	2.109524	0.039742
20.668623	2.109484	0.039854
21.723347	2.109440	0.039958
22.778063	2.109410	0.040050
23.832757	2.109406	0.040154
24.887469	2.109394	0.040274
25.942151	2.109355	0.040386
26.996824	2.109340	0.040500
28.051491	2.109341	0.040606
29.106165	2.109350	0.040710
30.160841	2.109346	0.040818
31.215511	2.109337	0.040926
32.270178	2.109321	0.041040
33.324832	2.109290	0.041152
34.379468	2.109260	0.041256
35.434092	2.109253	0.041372
36.488721	2.109243	0.041486
37.543335	2.109221	0.041602
38.597942	2.109204	0.041716
39.652539	2.109186	0.041822
40.707128	2.109169	0.041940
41.761708	2.109146	0.042056
42.816274	2.109135	0.042164
43.870843	2.109131	0.042278
44.925405	2.109122	0.042398
45.979965	2.109103	0.042510
47.034508	2.109053	0.042620
48.089018	2.109041	0.042736
49.143549	2.109044	0.042854
50.198062	2.109011	0.042976
51.252560	2.108989	0.043088
52.307051	2.108989	0.043206
53.361549	2.108986	0.043326
54.416037	2.108968	0.043442
55.470517	2.108946	0.043558
56.524983	2.108928	0.043678
57.579445	2.108935	0.043802
58.633918	2.108924	0.043920
59.688369	2.108889	0.044030
60.742807	2.108881	0.044146
61.797250	2.108886	0.044268
62.851693	2.108858	0.044386
63.906108	2.108831	0.044504
64.960524	2.108841	0.044624
66.014949	2.108838	0.044750
67.069362	2.108815	0.044876
68.123764	2.108804	0.044988
69.178166	2.108769	0.045104
70.232533	2.108731	0.045230
71.286897	2.108728	0.045358
72.341261	2.108744	0.045486
73.395641	2.108725	0.045606
74.449986	2.108695	0.045728
75.504336	2.108712	0.045856
76.558698	2.108698	0.045976
77.613034	2.108657	0.046088
78.667355	2.108647	0.046210
79.721681	2.108650	0.046338
80.776005	2.108644	0.046466
81.830325	2.108620	0.046594
82.884625	2.108602	0.046714
83.938927	2.108588	0.046838
84.993213	2.108552	0.046966
86.047479	2.108531	0.047090
87.101744	2.108537	0.047216
88.156016	2.108492	0.047348
89.210236	2.108470	0.047476
90.264486	2.108485	0.047604
91.318721	2.108458	0.047742
92.372944	2.108451	0.047872
93.427172	2.108449	0.047996
94.481393	2.108430	0.048130
95.535602	2.108414	0.048260
96.589807	2.108393	0.048390
97.643995	2.108379	0.048518
98.698186	2.108376	0.048648
99.752371	2.108373	0.048782
100.806559	2.108368	0.048914
101.860739	2.108351	0.049046
102.914910	2.108316	0.049180
103.969055	2.108288	0.049306
105.023198	2.108275	0.049432
106.077330	2.108270	0.049564
107.131468	2.108258	0.049700
108.185588	2.108240	0.049840
109.239708	2.108221	0.049976
110.293809	2.108195	0.050114
111.347903	2.108186	0.050246
112.401995	2.108191	0.050370
113.456094	2.108168	0.050500
114.510163	2.108145	0.050634
115.564239	2.108155	0.050770
116.618318	2.108157	0.050908
117.672396	2.108127	0.051040
118.726445	2.108098	0.051174
119.780494	2.108087	0.051316
120.834532	2.108071	0.051452
121.888565	2.108059	0.051586
122.942591	2.108033	0.051726
123.996598	2.108009	0.051864
125.050600	2.107992	0.052008
126.104590	2.108008	0.052132
127.158608	2.107995	0.052272
128.212585	2.107972	0.052430
129.266580	2.107968	0.052564
130.320553	2.107941	0.052702
131.374521	2.107939	0.052842
132.428492	2.107931	0.052984
133.482452	2.107919	0.053116
134.536411	2.107888	0.053254
135.590340	2.107845	0.053404
136.644256	2.107824	0.053544
137.698164	2.107822	0.053684
138.752078	2.107828	0.053832
139.805992	2.107822	0.053972
140.859900	2.107804	0.054116
141.913796	2.107784	0.054260
142.967684	2.107756	0.054404
144.021552	2.107741	0.054552
145.075425	2.107746	0.054694
146.129298	2.107742	0.054832
147.183167	2.107728	0.054974
148.237026	2.107717	0.055124
149.290884	2.107689	0.055272
150.344715	2.107678	0.055410
151.398562	2.107688	0.055556
152.452403	2.107676	0.055714
153.506238	2.107650	0.055856
154.560053	2.107633	0.055990
155.613871	2.107622	0.056150
156.667675	2.107605	0.056306
157.721476	2.107613	0.056444
158.775288	2.107609	0.056596
159.829085	2.107591	0.056754
160.882879	2.107588	0.056902
161.936673	2.107556	0.057042
162.990435	2.107542	0.057186
164.044215	2.107549	0.057342
165.097984	2.107524	0.057504
166.151739	2.107522	0.057658
167.205506	2.107525	0.057800
168.259264	2.107506	0.057948
169.313012	2.107484	0.058100
170.366748	2.107467	0.058256
171.420479	2.107459	0.058414
172.474207	2.107433	0.058566
173.527912	2.107416	0.058712
174.581623	2.107408	0.058862
175.635320	2.107389	0.059016
176.689012	2.107399	0.059172
177.742719	2.107412	0.059326
178.796424	2.107399	0.059480
179.850118	2.107363	0.059636
180.903787	2.107320	0.059786
181.957438	2.107329	0.059936
183.011116	2.107332	0.060092
184.064770	2.107296	0.060256
185.118412	2.107297	0.060408
186.172067	2.107313	0.060550
187.225725	2.107315	0.060710
188.279382	2.107301	0.060880
189.333026	2.107275	0.061040
190.386657	2.107268	0.061202
191.440294	2.107255	0.061360
192.493912	2.107242	0.061516
193.547536	2.107226	0.061676
194.601138	2.107210	0.061836
195.654746	2.107205	0.061996
196.708343	2.107201	0.062150
197.761947	2.107203	0.062314
198.815546	2.107198	0.062484
199.869145	2.107172	0.062650
200.922718	2.107149	0.062812
201.976294	2.107130	0.062976
203.029848	2.107105	0.063136
204.083399	2.107116	0.063290
205.136964	2.107124	0.063452
206.190523	2.107110	0.063618
207.244074	2.107100	0.063784
208.297623	2.107091	0.063958
209.351165	2.107085	0.064118
210.404708	2.107061	0.064284
211.458226	2.107033	0.064456
212.511741	2.107015	0.064618
213.565241	2.106995	0.064786
214.618736	2.107004	0.064956
215.672245	2.107004	0.065130
216.725740	2.106976	0.065300
217.779221	2.106962	0.065462
218.832702	2.106961	0.065640
219.886182	2.106947	0.065812
220.939649	2.106932	0.065982
221.993114	2.106945	0.066152
223.046594	2.106936	0.066316
224.100050	2.106916	0.066492
225.153510	2.106905	0.066660
226.206955	2.106902	0.066830
227.260412	2.106901	0.067004
228.313856	2.106886	0.067164
229.367298	2.106882	0.067336
230.420738	2.106882	0.067512
231.474180	2.106866	0.067676
232.527604	2.106857	0.067852
233.581037	2.106864	0.068038
234.634468	2.106846	0.068208
235.687883	2.106813	0.068366
236.741281	2.106809	0.068534
237.794692	2.106815	0.068716
238.848096	2.106807	0.068892
239.901499	2.106794	0.069070
240.954890	2.106783	0.069248
242.008282	2.106753	0.069420
243.061643	2.106724	0.069594
244.115006	2.106751	0.069768
245.168394	2.106750	0.069952
246.221756	2.106689	0.070128
247.275083	2.106672	0.070298
248.328428	2.106682	0.070472
249.381765	2.106677	0.070650
250.435105	2.106671	0.070838
251.488436	2.106662	0.071016
252.541767	2.106647	0.071186
253.595083	2.106616	0.071366
254.648383	2.106615	0.071546
255.701698	2.106625	0.071720
256.755008	2.106637	0.071904
257.808335	2.106641	0.072082
258.861649	2.106610	0.072262
259.914945	2.106600	0.072446
260.968249	2.106607	0.072630
262.021552	2.106609	0.072820
263.074858	2.106593	0.072996
264.128145	2.106575	0.073162
265.181433	2.106593	0.073342
266.234738	2.106593	0.073528
267.288026	2.106559	0.073704
268.341297	2.106545	0.073890
269.394571	2.106544	0.074070
270.447841	2.106540	0.074246
271.501111	2.106531	0.074434
272.554372	2.106526	0.074612
273.607637	2.106525	0.074794
274.660897	2.106518	0.074986
275.714155	2.106511	0.075178
276.767408	2.106494	0.075360
277.820649	2.106470	0.075534
278.873878	2.106477	0.075716
279.927126	2.106473	0.075912
280.980351	2.106451	0.076090
282.033577	2.106449	0.076278
283.086800	2.106438	0.076476
284.140015	2.106417	0.076658
285.193217	2.106414	0.076846
286.246429	2.106411	0.077038
287.299628	2.106404	0.077224
288.352833	2.106404	0.077410
289.406032	2.106408	0.077600
290.459241	2.106368	0.077794
291.512400	2.106371	0.077984
292.565612	2.106397	0.078176
293.618797	2.106364	0.078370
294.671976	2.106340	0.078560
295.725137	2.106331	0.078746
296.778307	2.106341	0.078938
297.831478	2.106327	0.079128
298.884634	2.106307	0.079316
299.937785	2.106278	0.079502
300.990912	2.106281	0.079684
302.044066	2.106291	0.079880
303.097203	2.106276	0.080074
304.150342	2.106276	0.080256
305.203479	2.106255	0.080450
306.256597	2.106246	0.080642
307.309725	2.106246	0.080834
308.362843	2.106217	0.081030
309.415942	2.106187	0.081212
310.469030	2.106194	0.081396
311.522136	2.106181	0.081588
312.575211	2.106163	0.081786
313.628299	2.106184	0.081970
314.681395	2.106191	0.082150
315.734490	2.106157	0.082348
316.787552	2.106139	0.082536
317.840629	2.106147	0.082714
318.893699	2.106141	0.082906
319.946770	2.106127	0.083104
320.999826	2.106116	0.083288
322.052886	2.106104	0.083472
323.105930	2.106098	0.083660
324.158984	2.106113	0.083848
325.212043	2.106115	0.084038
326.265099	2.106107	0.084230
327.318150	2.106097	0.084420
328.371196	2.106077	0.084604
329.424227	2.106068	0.084798
330.477264	2.106078	0.084992
331.530305	2.106076	0.085178
332.583340	2.106060	0.085364
333.636365	2.106059	0.085550
334.689399	2.106042	0.085742
335.742407	2.106030	0.085930
336.795429	2.106044	0.086126
337.848451	2.106032	0.086326
338.901461	2.105993	0.086518
339.954444	2.105994	0.086712
341.007455	2.105966	0.086910
