#Creator: pendulumEventBuffer
#Creation time: Tue Jan  1 01:30:49 2013
#Time	Period	Transit time
#[s]	[s]	[s]
2.150624	2.142304	0.011536
3.221720	2.142082	0.011572
4.292706	2.141849	0.011608
5.363569	2.141616	0.011646
6.434322	2.141391	0.011684
7.504960	2.141171	0.011724
8.575493	2.140950	0.011762
9.645910	2.140725	0.011796
10.716218	2.140520	0.011836
11.786430	2.140309	0.011876
12.856527	2.140078	0.011910
13.926508	2.139856	0.011948
14.996383	2.139633	0.011990
16.066141	2.139404	0.012030
17.135787	2.139183	0.012066
18.205324	2.138969	0.012104
19.274756	2.138763	0.012144
20.344087	2.138559	0.012182
21.413315	2.138357	0.012222
22.482444	2.138162	0.012260
23.551477	2.137957	0.012298
24.620401	2.137747	0.012338
25.689224	2.137564	0.012376
26.757965	2.137394	0.012414
27.826618	2.137207	0.012452
28.895172	2.137010	0.012492
29.963628	2.136815	0.012532
31.031987	2.136635	0.012570
32.100263	2.136455	0.012610
33.168442	2.136265	0.012652
34.236528	2.136070	0.012692
35.304512	2.135881	0.012728
36.372409	2.135692	0.012766
37.440204	2.135502	0.012804
38.507911	2.135310	0.012846
39.575514	2.135120	0.012892
40.643031	2.134963	0.012930
41.710477	2.134816	0.012966
42.777847	2.134636	0.013006
43.845113	2.134457	0.013046
44.912304	2.134293	0.013088
45.979406	2.134117	0.013128
47.046421	2.133925	0.013170
48.113331	2.133745	0.013210
49.180166	2.133619	0.013248
50.246950	2.133483	0.013288
51.313649	2.133329	0.013330
52.380279	2.133184	0.013374
53.446833	2.133017	0.013414
54.513296	2.132849	0.013452
55.579682	2.132689	0.013492
56.645985	2.132530	0.013530
57.712212	2.132364	0.013572
58.778349	2.132198	0.013614
59.844410	2.132038	0.013656
60.910387	2.131880	0.013702
61.976290	2.131731	0.013744
63.042118	2.131582	0.013784
64.107872	2.131420	0.013824
65.173538	2.131257	0.013868
66.239129	2.131109	0.013910
67.304647	2.130968	0.013950
68.370097	2.130817	0.013994
69.435464	2.130671	0.014036
70.500768	2.130529	0.014080
71.565993	2.130378	0.014122
72.631146	2.130236	0.014164
