#Creator: pendulumEventBuffer
#Creation time: Tue Jan  1 01:30:49 2013
#Time	Period	Transit time
#[s]	[s]	[s]
228.658008	2.130031	0.014148
229.722988	2.129897	0.014188
230.787905	2.129761	0.014230
231.852749	2.129622	0.014274
232.917527	2.129492	0.014314
233.982241	2.129362	0.014354
235.046889	2.129232	0.014398
236.111473	2.129102	0.014442
237.175991	2.128989	0.014486
238.240462	2.128873	0.014528
239.304864	2.128741	0.014568
240.369203	2.128612	0.014610
241.433476	2.128484	0.014652
242.497687	2.128354	0.014690
243.561830	2.128219	0.014732
244.625906	2.128093	0.014776
245.689923	2.127970	0.014822
246.753876	2.127839	0.014864
247.817762	2.127711	0.014904
248.881587	2.127597	0.014946
249.945359	2.127487	0.014990
251.009074	2.127368	0.015036
252.072727	2.127250	0.015078
253.136324	2.127134	0.015124
254.199861	2.127011	0.015170
255.263335	2.126893	0.015210
256.326754	2.126784	0.015252
257.390119	2.126671	0.015298
258.453425	2.126557	0.015342
259.516676	2.126444	0.015384
260.579869	2.126327	0.015430
261.643003	2.126207	0.015474
262.706076	2.126096	0.015516
263.769099	2.125987	0.015562
264.832063	2.125872	0.015606
265.894971	2.125757	0.015650
266.957820	2.125646	0.015696
268.020617	2.125541	0.015742
269.083361	2.125439	0.015786
270.146056	2.125338	0.015832
271.208699	2.125236	0.015878
272.271292	2.125141	0.015924
273.333840	2.125036	0.015972
274.396328	2.124923	0.016012
275.458763	2.124820	0.016058
276.521148	2.124722	0.016108
277.583485	2.124627	0.016154
278.645775	2.124531	0.016198
279.708016	2.124438	0.016244
280.770213	2.124346	0.016290
281.832362	2.124249	0.016336
282.894462	2.124147	0.016384
283.956509	2.124043	0.016430
285.018505	2.123934	0.016478
286.080443	2.123851	0.016526
287.142356	2.123752	0.016572
288.204195	2.123647	0.016618
289.266003	2.123573	0.016666
290.327768	2.123451	0.016716
291.389454	2.123339	0.016764
292.451107	2.123262	0.016810
293.512716	2.123179	0.016856
294.574286	2.123090	0.016904
295.635806	2.122997	0.016952
296.697283	2.122919	0.016998
297.758725	2.122835	0.017046
298.820118	2.122736	0.017096
299.881461	2.122667	0.017142
300.942785	2.122577	0.017238
302.004038	2.122475	0.017292
303.065260	2.122400	0.017296
304.126438	2.122315	0.017344
305.187575	2.122231	0.017390
306.248669	2.122148	0.017438
307.309723	2.122063	0.017490
308.370732	2.121973	0.017540
309.431696	2.121890	0.017588
310.492622	2.121812	0.017636
311.553508	2.121719	0.017688
312.614341	2.121625	0.017738
313.675133	2.121550	0.017786
314.735891	2.121472	0.017838
315.796605	2.121383	0.017890
